date,open,high,low,adjClose,value,volume,count,close
2015-07-04,10000.0,10000.0,10000.0,10000.0,25900000,2590,5,10000.0
2015-07-05,10000.0,10000.0,10000.0,10000.0,54200000,5420,6,10000.0
2015-07-06,10000.0,10000.0,10000.0,10000.0,19800000,1980,1,10000.0
2015-07-07,10000.0,10000.0,10000.0,10000.0,355000000,35500,5,10000.0
2015-07-11,10000.0,10000.0,10000.0,10000.0,92000000,9200,5,10000.0
2015-07-21,10000.0,10000.0,10000.0,10000.0,39500000000,3950000,42,10000.0
2015-09-13,10235.0,10235.0,10235.0,10235.0,1023500,100,1,10235.0
2015-09-19,10250.0,10250.0,10250.0,10250.0,20500000,2000,1,10250.0
2015-10-31,10521.0,10521.0,10521.0,10521.0,2104200,200,1,10521.0
2015-11-09,10565.0,10565.0,10565.0,10565.0,2958200,280,1,10565.0
2016-01-16,10970.0,10970.0,10970.0,10970.0,8227500,750,2,10970.0
2016-01-18,11000.0,11000.0,11000.0,11000.0,4950000,450,1,11000.0
2016-01-27,11514.0,11583.0,11514.0,11537.0,18460000,1600,3,11583.0
2016-01-30,11648.0,11648.0,11648.0,11648.0,13977600,1200,1,11648.0
2016-02-07,11807.0,11807.0,11807.0,11807.0,1180700,100,1,11807.0
2016-02-09,11980.0,12073.0,11980.0,11980.0,2401070660,200420,9,12073.0
2016-02-10,11927.0,11927.0,11927.0,11927.0,5963500000,500000,21,11927.0
2016-02-21,12029.0,12037.0,12029.0,12033.0,4813200000,400000,16,12037.0
2016-03-05,11968.0,11968.0,11968.0,11968.0,5026560,420,1,11968.0
2016-03-14,12128.0,12150.0,12128.0,12137.0,60684000,5000,2,12150.0
2016-06-07,12300.0,12300.0,12300.0,12300.0,123000000,10000,2,12300.0
2016-07-12,12124.0,12124.0,12124.0,12124.0,12124000,1000,1,12124.0
2016-07-24,12440.0,12440.0,12440.0,12440.0,12440000,1000,1,12440.0
2016-07-26,12416.0,12416.0,12416.0,12416.0,12416000,1000,1,12416.0
2016-08-06,12440.0,12440.0,12440.0,12440.0,6220000,500,1,12440.0
2016-08-07,12572.0,12572.0,12572.0,12572.0,6286000,500,1,12572.0
2016-08-10,12599.0,12599.0,12599.0,12599.0,6299500,500,1,12599.0
2016-08-13,12900.0,12900.0,12900.0,12900.0,1290000,100,1,12900.0
2016-09-19,12416.0,12416.0,12416.0,12416.0,62080000,5000,1,12416.0
2016-10-25,12662.0,12662.0,12662.0,12662.0,18993000,1500,1,12662.0
2016-10-29,12903.0,12903.0,12903.0,12903.0,1290300,100,1,12903.0
2016-10-30,12979.0,12979.0,12979.0,12979.0,1297900,100,1,12979.0
2016-11-09,12480.0,12480.0,12480.0,12480.0,5616000,450,1,12480.0
2017-01-30,12363.0,12363.0,12289.0,12323.0,1848450000,150000,5,12289.0
2017-03-18,12094.0,12094.0,12094.0,12094.0,1209400,100,1,12094.0
2017-04-09,12334.0,12334.0,12334.0,12334.0,4316900,350,1,12334.0
2017-04-29,13331.0,13331.0,13331.0,13331.0,133310000,10000,1,13331.0
2017-09-02,13549.0,13549.0,13549.0,13549.0,1083920,80,1,13549.0
2017-09-04,13149.0,13149.0,13149.0,13149.0,1051920,80,1,13149.0
2017-09-11,13587.0,13587.0,13587.0,13587.0,600001920,44160,5,13587.0
2017-09-12,13770.0,13770.0,13770.0,13770.0,1101600,80,1,13770.0
2017-09-18,13745.0,13745.0,13745.0,13745.0,10006360000,728000,30,13745.0
2017-09-25,13551.0,13551.0,13551.0,13551.0,1084080,80,1,13551.0
2017-10-11,10050.0,10060.0,10050.0,10050.0,3025060000,301000,13,10060.0
2017-10-16,10050.0,10050.0,10050.0,10050.0,8040000,800,1,10050.0
2017-10-17,10051.0,10051.0,10000.0,10043.0,58251000,5800,3,10000.0
2017-10-18,10001.0,10001.0,10001.0,10001.0,10001000,1000,1,10001.0
2017-11-01,10050.0,10050.0,10050.0,10050.0,502500000,50000,2,10050.0
2017-11-04,10050.0,10050.0,10050.0,10050.0,423507000,42140,6,10050.0
2017-11-07,10306.0,10306.0,10306.0,10306.0,71523640,6940,1,10306.0
2017-11-08,10318.0,10318.0,10318.0,10318.0,1031800,100,1,10318.0
2017-11-22,10351.0,10351.0,10351.0,10351.0,258775000,25000,1,10351.0
2017-11-26,10340.0,10340.0,10340.0,10340.0,1034000000,100000,1,10340.0
2017-12-04,10411.0,10411.0,10411.0,10411.0,1041100000,100000,1,10411.0
2017-12-05,10436.0,10436.0,10436.0,10436.0,1043600000,100000,1,10436.0
2017-12-09,10446.0,10446.0,10446.0,10446.0,1044600000,100000,1,10446.0
2017-12-11,10456.0,10456.0,10456.0,10456.0,17994776000,1721000,18,10456.0
2017-12-13,10449.0,10450.0,10449.0,10450.0,522480840,50000,2,10450.0
2018-01-06,10029.0,10029.0,10029.0,10029.0,250725000,25000,1,10029.0
2018-01-08,10059.0,10059.0,10059.0,10059.0,100590000,10000,2,10059.0
2018-01-13,10051.0,10051.0,10051.0,10051.0,1306630,130,1,10051.0
2018-01-14,10030.0,10030.0,10030.0,10030.0,1003000,100,1,10030.0
