date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-09-04,7900.0,7900.0,7900.0,7900.0,789995094100,99999379,645144,1000.0,7900.0
2019-09-07,8295.0,8295.0,8295.0,8295.0,789750360,95208,671,7900.0,8295.0
2019-09-08,8709.0,8709.0,8709.0,8709.0,1190833824,136736,965,8295.0,8709.0
2019-09-11,9144.0,9144.0,9144.0,9144.0,1680584904,183791,1272,8709.0,9144.0
2019-09-14,9601.0,9601.0,9601.0,9601.0,3168915661,330061,2259,9144.0,9601.0
2019-09-15,10081.0,10081.0,10081.0,10081.0,3598473436,356956,2444,9601.0,10081.0
2019-09-16,10585.0,10585.0,10585.0,10585.0,3612088910,341246,2320,10081.0,10585.0
2019-09-17,11114.0,11114.0,11114.0,11114.0,4333993212,389958,2664,10585.0,11114.0
2019-09-18,11669.0,11669.0,11669.0,11669.0,7862152116,673764,4591,11114.0,11669.0
2019-09-21,12252.0,12252.0,12252.0,12252.0,1609361460,131355,865,11669.0,12252.0
2019-09-24,12864.0,13507.0,12864.0,13374.0,25749537892,1925403,12887,12252.0,13507.0
2019-09-25,14042.0,14042.0,14042.0,14042.0,26638081218,1897029,13397,13374.0,14042.0
2019-09-28,14744.0,14744.0,14744.0,14744.0,9386974016,636664,4459,14042.0,14744.0
2019-09-29,15481.0,15481.0,15481.0,15481.0,11475275769,741249,5072,14744.0,15481.0
2019-09-30,16255.0,16255.0,16255.0,16255.0,15387421885,946627,6379,15481.0,16255.0
2019-10-01,17067.0,17067.0,17067.0,17067.0,35251257021,2065463,10904,16255.0,17067.0
2019-10-02,17920.0,17920.0,17920.0,17920.0,167596441600,9352480,46774,17067.0,17920.0
2019-10-05,18200.0,18239.0,17024.0,18084.0,183208765718,10130806,39333,17920.0,17921.0
2019-10-06,17180.0,17180.0,17180.0,17180.0,34392556100,2001895,9676,18084.0,17180.0
2019-10-07,16321.0,16321.0,16321.0,16321.0,7534393798,461638,796,17180.0,16321.0
2019-10-08,15505.0,15505.0,15505.0,15505.0,6784972495,437599,581,16321.0,15505.0
2019-10-09,14730.0,14730.0,14730.0,14730.0,8889216210,603477,908,15505.0,14730.0
2019-10-12,14800.0,15466.0,13994.0,15244.0,321942944895,21119596,105411,14730.0,15466.0
2019-10-13,15552.0,16006.0,14482.0,14979.0,222711988783,14868621,71127,15244.0,14929.0
2019-10-14,14800.0,15727.0,14351.0,15340.0,204519416901,13332165,41725,14979.0,15727.0
2019-10-15,15900.0,15945.0,14573.0,14928.0,168190337570,11266858,17799,15340.0,14722.0
2019-10-16,14710.0,15300.0,14183.0,14731.0,129632656769,8800159,17126,14928.0,14335.0
2019-10-20,14414.0,14790.0,13995.0,14177.0,28627010150,2019218,3399,14731.0,13995.0
2019-10-21,13469.0,13997.0,13469.0,13629.0,96864889107,7107383,12424,14177.0,13902.0
2019-10-22,14100.0,14310.0,13601.0,14142.0,95870692570,6779011,11585,13629.0,14002.0
2019-10-23,14199.0,14310.0,13435.0,13511.0,94913943783,7025076,10550,14142.0,13451.0
2019-10-26,13000.0,13435.0,12836.0,12900.0,75356045109,5841521,13096,13511.0,12836.0
2019-10-28,12949.0,13400.0,12557.0,13102.0,54089687746,4128276,9734,12900.0,13197.0
2019-10-30,13111.0,13757.0,13111.0,13631.0,55330148010,4059140,7830,13102.0,13757.0
2019-11-02,14005.0,14100.0,13001.0,13550.0,59047702541,4357808,9992,13631.0,13544.0
2019-11-03,13480.0,14227.0,13350.0,14094.0,93244037364,6616026,10275,13550.0,14227.0
2019-11-04,14389.0,14700.0,14100.0,14383.0,58517771701,4068616,7974,14094.0,14260.0
2019-11-05,14100.0,14650.0,13850.0,14281.0,47987524882,3360198,7059,14383.0,14278.0
2019-11-09,14220.0,14650.0,14100.0,14301.0,43068263708,3011616,6717,14281.0,14150.0
2019-11-10,14060.0,14250.0,13715.0,13905.0,43890266587,3156542,6563,14301.0,14012.0
2019-11-11,13950.0,14350.0,13870.0,14080.0,34554480789,2454182,5814,13905.0,13975.0
2019-11-12,14299.0,14475.0,13911.0,14172.0,50104826869,3535485,5370,14080.0,14031.0
2019-11-13,14002.0,14880.0,13951.0,14593.0,105455642795,7226538,7833,14172.0,14880.0
2019-11-16,15322.0,15322.0,15053.0,15319.0,200304965993,13075832,5073,14593.0,15322.0
2019-11-17,15020.0,15550.0,14554.0,15101.0,117429235732,7776415,5679,15319.0,14889.0
2019-11-18,14801.0,15599.0,14801.0,15344.0,59077393166,3850313,4188,15101.0,15400.0
2019-11-19,15349.0,15799.0,15200.0,15531.0,47444389667,3054897,4536,15344.0,15502.0
2019-11-20,15599.0,15855.0,15150.0,15473.0,61997523004,4006748,4629,15531.0,15350.0
2019-11-23,15300.0,15526.0,14995.0,15180.0,53117659418,3499300,5105,15473.0,15080.0
2019-11-24,15003.0,15939.0,15003.0,15688.0,107128869749,6828547,5375,15180.0,15939.0
2019-11-25,16472.0,16472.0,16472.0,16472.0,32889164712,1996671,1802,15688.0,16472.0
2019-11-26,17100.0,17295.0,16501.0,17244.0,235903428145,13680692,5214,16472.0,17295.0
2019-11-27,17320.0,17999.0,16711.0,17405.0,168752720782,9695754,9802,17244.0,17200.0
2019-11-30,17260.0,18275.0,16905.0,17858.0,141573426919,7927680,7383,17405.0,18275.0
2019-12-01,18600.0,18750.0,18090.0,18630.0,311175277664,16703241,7485,17858.0,18453.0
2019-12-02,18250.0,18888.0,17699.0,18050.0,190826319947,10572234,7922,18630.0,17699.0
2019-12-03,17700.0,18896.0,17500.0,18387.0,111645851554,6072149,5990,18050.0,18285.0
2019-12-04,18400.0,18600.0,17835.0,18118.0,82128413793,4532894,5324,18387.0,17995.0
