date,open,high,low,adjClose,value,volume,count,yesterday,close
2002-05-06,2400.0,2400.0,2400.0,2400.0,12000000,5000,3,2400.0,2400.0
2002-05-08,2500.0,2500.0,2500.0,2500.0,11265000,4506,1,2400.0,2500.0
2002-05-18,2503.0,2503.0,2503.0,2503.0,114960287,45929,55,2500.0,2503.0
2002-05-27,2503.0,2503.0,2503.0,2503.0,297857,119,1,2503.0,2503.0
2002-12-22,3500.0,3500.0,3500.0,3500.0,105766500,30219,112,2503.0,3500.0
2002-12-25,3501.0,3501.0,3501.0,3501.0,115533,33,1,3500.0,3501.0
2003-01-21,4000.0,4000.0,4000.0,4000.0,6708000,1677,5,3501.0,4000.0
2008-03-03,1100.0,1100.0,1100.0,1100.0,22179300,20163,3,4000.0,1100.0
2008-03-04,1143.0,1144.0,1143.0,1143.0,66180517,57853,17,1100.0,1143.0
2008-03-05,1188.0,1188.0,1188.0,1188.0,2376000,2000,1,1143.0,1188.0
2008-03-09,1235.0,1235.0,1234.0,1234.0,31029823,25126,13,1188.0,1234.0
2008-03-10,1283.0,1283.0,1283.0,1283.0,2566000,2000,1,1234.0,1283.0
2008-03-11,1334.0,1334.0,1334.0,1334.0,133400,100,1,1283.0,1334.0
2008-03-12,1387.0,1387.0,1387.0,1387.0,1887707,1361,1,1334.0,1387.0
2008-03-16,1442.0,1442.0,1442.0,1442.0,3692962,2561,2,1387.0,1442.0
2008-03-17,1499.0,1499.0,1499.0,1499.0,61331585,40915,10,1442.0,1499.0
2008-03-29,1499.0,1558.0,1499.0,1557.0,7802207,5010,5,1499.0,1557.0
2008-04-02,1495.0,1495.0,1495.0,1495.0,4972370,3326,1,1557.0,1495.0
2008-04-05,1444.0,1444.0,1436.0,1443.0,29303298,20303,10,1495.0,1443.0
2008-04-07,1396.0,1396.0,1386.0,1393.0,22459168,16122,11,1443.0,1393.0
2008-04-08,1390.0,1390.0,1340.0,1340.0,13413900,10010,2,1393.0,1340.0
2008-04-09,1340.0,1340.0,1340.0,1340.0,1027780,767,1,1340.0,1340.0
2008-04-12,1339.0,1340.0,1339.0,1339.0,1145259,855,3,1340.0,1339.0
2008-04-13,1392.0,1392.0,1392.0,1392.0,696000,500,1,1339.0,1392.0
2008-04-14,1447.0,1447.0,1447.0,1447.0,10838030,7490,2,1392.0,1447.0
2008-06-01,1700.0,1700.0,1700.0,1700.0,85000000,50000,10,1447.0,1700.0
2008-06-02,1632.0,1632.0,1632.0,1632.0,179520000,110000,22,1700.0,1632.0
2008-06-08,1567.0,1567.0,1567.0,1567.0,1567000,1000,1,1632.0,1567.0
2008-06-09,1505.0,1505.0,1505.0,1505.0,15050000,10000,1,1567.0,1505.0
2008-06-10,1500.0,1500.0,1500.0,1500.0,7500000,5000,1,1505.0,1500.0
2008-06-11,1440.0,1441.0,1440.0,1440.0,2559085713,1777126,319,1500.0,1440.0
2014-08-04,2304.0,2380.0,2200.0,2278.0,3013984206,1323165,331,1440.0,2237.0
2014-08-05,2238.0,2280.0,2103.0,2219.0,1424370494,641864,152,2278.0,2183.0
2014-08-06,2183.0,2189.0,2083.0,2129.0,689911398,323987,91,2219.0,2140.0
2014-08-09,2081.0,2150.0,2020.0,2079.0,610056151,293380,101,2129.0,2125.0
2014-08-10,2050.0,2245.0,2046.0,2212.0,2942984200,1330673,325,2079.0,2245.0
2014-08-11,2380.0,2388.0,2202.0,2378.0,2567952613,1079933,223,2212.0,2388.0
2014-08-12,2400.0,2568.0,2400.0,2542.0,5947765191,2339813,517,2378.0,2568.0
2014-08-13,2650.0,2745.0,2650.0,2733.0,4739837008,1734291,328,2542.0,2745.0
2014-08-16,2798.0,2879.0,2515.0,2694.0,5369509157,1993407,429,2733.0,2515.0
2014-08-17,2479.0,2595.0,2479.0,2522.0,2691942932,1067545,182,2694.0,2564.0
2014-08-18,2560.0,2723.0,2560.0,2717.0,4903487489,1804681,247,2522.0,2723.0
2014-08-19,2849.0,2849.0,2610.0,2712.0,2906091504,1071379,210,2717.0,2615.0
2014-08-20,2700.0,2700.0,2552.0,2651.0,1613324279,608564,103,2712.0,2660.0
2014-08-23,2617.0,2859.0,2617.0,2784.0,2414067818,867093,193,2651.0,2790.0
2014-08-24,2700.0,2949.0,2700.0,2827.0,3518765572,1244552,237,2784.0,2784.0
2014-08-25,2800.0,2810.0,2601.0,2661.0,2846991549,1069786,285,2827.0,2623.0
2014-08-26,2730.0,2785.0,2570.0,2680.0,2285149930,852583,177,2661.0,2614.0
2014-08-27,2611.0,2624.0,2557.0,2591.0,1326819291,512000,88,2680.0,2584.0
2014-08-30,2411.0,2500.0,2400.0,2436.0,1068232116,438519,81,2591.0,2470.0
2014-08-31,2500.0,2546.0,2303.0,2382.0,718153264,301470,100,2436.0,2375.0
2014-09-01,2435.0,2451.0,2360.0,2409.0,603673951,250580,99,2382.0,2370.0
2014-09-02,2420.0,2527.0,2361.0,2433.0,710490014,291985,102,2409.0,2420.0
2014-09-03,2490.0,2490.0,2301.0,2382.0,699344032,293540,77,2433.0,2345.0
2014-09-06,2314.0,2314.0,2230.0,2246.0,631013626,280953,84,2382.0,2235.0
2014-09-07,2115.0,2238.0,2100.0,2149.0,1296041130,603069,129,2246.0,2170.0
2014-09-08,2284.0,2284.0,2157.0,2261.0,692379454,306245,100,2149.0,2275.0
2014-09-09,2300.0,2330.0,2160.0,2220.0,324682030,146252,47,2261.0,2160.0
2014-09-10,2136.0,2160.0,2096.0,2128.0,439822441,206663,55,2220.0,2096.0
2014-09-13,2084.0,2084.0,1958.0,1979.0,1085068626,548356,174,2128.0,1983.0
2014-09-14,1900.0,1999.0,1861.0,1870.0,1278706278,683958,125,1979.0,1863.0
2014-09-15,1980.0,2019.0,1900.0,2003.0,846394006,422506,76,1870.0,2019.0
2014-09-16,2089.0,2158.0,2000.0,2098.0,1279676075,610000,131,2003.0,2099.0
2014-09-17,2238.0,2238.0,1950.0,2053.0,683074694,332712,85,2098.0,1992.0
2014-09-20,1990.0,1990.0,1900.0,1917.0,501159835,261456,72,2053.0,1922.0
2014-09-21,1900.0,2014.0,1900.0,1952.0,348359242,178485,60,1917.0,1950.0
2014-09-22,1940.0,1947.0,1890.0,1911.0,1212240766,634204,73,1952.0,1915.0
2014-09-23,1911.0,1990.0,1860.0,1942.0,975397263,502296,122,1911.0,1959.0
2014-09-24,1941.0,2049.0,1941.0,2006.0,2757889447,1374984,195,1942.0,2000.0
2014-09-27,1911.0,2063.0,1911.0,1993.0,960518959,481990,121,2006.0,1931.0
2014-09-28,1925.0,1989.0,1861.0,1898.0,1312926214,691639,152,1993.0,1900.0
2014-09-29,1850.0,1959.0,1831.0,1913.0,1600321323,836379,180,1898.0,1918.0
2014-09-30,1882.0,1960.0,1851.0,1932.0,2023474123,1047357,156,1913.0,1925.0
2014-10-01,1902.0,1950.0,1778.0,1870.0,5180073084,2769932,464,1932.0,1778.0
2015-03-04,1050.0,1050.0,1050.0,1050.0,1050000000,1000000,20,1870.0,1050.0
2015-03-08,1000.0,1000.0,1000.0,1000.0,2000000000,2000000,40,1050.0,1000.0
2015-03-11,920.0,920.0,920.0,920.0,1840000000,2000000,40,1000.0,920.0
2015-03-14,920.0,920.0,920.0,920.0,11012400,11970,3,920.0,920.0
2015-03-15,920.0,920.0,900.0,900.0,3476627100,3862799,96,920.0,900.0
2018-03-19,798.0,798.0,719.0,764.0,1047688449,1372202,264,900.0,779.0
2018-03-25,779.0,840.0,770.0,835.0,912211078,1092278,134,764.0,840.0
2018-03-26,908.0,908.0,792.0,822.0,419688950,510795,95,835.0,829.0
