date,open,high,low,adjClose,value,volume,count,close
2020-02-19,17000.0,17000.0,17000.0,17000.0,1818988559000,106999327,1498702,17000.0
2020-02-22,17850.0,17850.0,17850.0,17712.0,5978875350,334951,2124,17850.0
2020-02-23,18597.0,18597.0,18597.0,18597.0,7453473033,400789,2007,18597.0
2020-02-24,19526.0,19526.0,19526.0,19526.0,7874660066,403291,2564,19526.0
2020-02-25,20502.0,20502.0,20502.0,20502.0,8210845980,400490,2235,20502.0
2020-02-26,21527.0,21527.0,21527.0,21527.0,8645824429,401627,3499,21527.0
2020-02-29,22603.0,22603.0,22603.0,22603.0,18058101775,798925,5471,22603.0
2020-03-01,23733.0,23733.0,23733.0,23733.0,9527351787,401439,3322,23733.0
2020-03-02,24919.0,24919.0,24919.0,24919.0,57951676238,2325602,4452,24919.0
2020-03-03,26164.0,26164.0,26164.0,26164.0,61052150324,2333441,556,26164.0
2020-03-07,27472.0,28845.0,27472.0,28781.0,126907963188,4409367,6511,28845.0
2020-03-09,30220.0,30220.0,30220.0,30220.0,90700192600,3001330,8813,30220.0
2020-03-10,31731.0,31731.0,31731.0,31731.0,126992507229,4002159,9934,31731.0
2020-03-11,33317.0,33317.0,33317.0,33317.0,133364719251,4002903,20061,33317.0
2020-03-14,34982.0,34982.0,34982.0,34982.0,779253959610,22275855,30005,34982.0
2020-03-15,36731.0,36731.0,36731.0,36731.0,779028954392,21209032,18056,36731.0
2020-03-16,38567.0,38567.0,38567.0,38567.0,112193948422,2909066,13532,38567.0
2020-03-17,40495.0,40495.0,40495.0,40495.0,60845964725,1502555,13715,40495.0
2020-03-18,42519.0,42519.0,42519.0,42519.0,1518482280051,35713029,24170,42519.0
2020-03-24,44644.0,44644.0,44644.0,44644.0,139944921784,3134686,2711,44644.0
2020-03-29,46876.0,49219.0,46876.0,48381.0,68443016527,1414654,10332,49219.0
2020-03-30,50800.0,50800.0,50800.0,50800.0,93802809600,1846512,28651,50800.0
2020-04-04,53340.0,53340.0,53340.0,53340.0,72306423840,1355576,21072,53340.0
2020-04-05,56000.0,56007.0,50673.0,55733.0,3017188906824,54136402,177154,56007.0
2020-04-06,55490.0,55500.0,52947.0,53932.0,1273209409042,23607569,161727,54300.0
