date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-05-21,4200.0,4200.0,4200.0,4200.0,218400000000,52000000,376222,1000.0,4200.0
2019-05-22,4410.0,4410.0,4410.0,4410.0,419492430,95123,742,4200.0,4410.0
2019-05-25,4630.0,4630.0,4630.0,4630.0,809472160,174832,1332,4410.0,4630.0
2019-05-26,4861.0,4861.0,4861.0,4861.0,1329862658,273578,2110,4630.0,4861.0
2019-05-28,5104.0,5104.0,5104.0,5104.0,1470498128,288107,2194,4861.0,5104.0
2019-05-29,5359.0,5359.0,5359.0,5359.0,1907134125,355875,2688,5104.0,5359.0
2019-06-01,5626.0,5626.0,5626.0,5626.0,3404883330,605205,4574,5359.0,5626.0
2019-06-02,5907.0,5907.0,5907.0,5907.0,1798185312,304416,2304,5626.0,5907.0
2019-06-03,6202.0,6202.0,6202.0,6202.0,2553059502,411651,3088,5907.0,6202.0
2019-06-08,6512.0,6512.0,6512.0,6512.0,1184278832,181861,1338,6202.0,6512.0
2019-06-11,6837.0,6837.0,6837.0,6837.0,1045575573,152929,1127,6512.0,6837.0
2019-06-12,7178.0,7178.0,7178.0,7178.0,5133547684,715178,5373,6837.0,7178.0
2019-06-15,7536.0,7536.0,7536.0,7536.0,17992004064,2387474,6695,7178.0,7536.0
2019-06-16,7912.0,8690.0,7833.0,8126.0,383863813957,47238789,83164,7536.0,8500.0
2019-06-17,8528.0,8532.0,8000.0,8449.0,104696462180,12391363,58349,8126.0,8532.0
2019-06-18,8700.0,8871.0,8532.0,8824.0,88189927642,9993765,22167,8449.0,8871.0
2019-06-19,9180.0,9265.0,8950.0,9213.0,29004355224,3148310,9168,8824.0,9265.0
2019-06-22,9673.0,9673.0,9673.0,9673.0,18147021977,1876049,4557,9213.0,9673.0
2019-06-23,10156.0,10156.0,9855.0,10139.0,91653132312,9039786,11495,9673.0,10156.0
2019-06-24,10400.0,10490.0,9633.0,9879.0,204920492406,20742665,39894,10139.0,9633.0
2019-06-25,9386.0,9386.0,9386.0,9386.0,6431155796,685186,807,9879.0,9386.0
2019-06-26,8917.0,8917.0,8917.0,8917.0,5900797999,661747,674,9386.0,8917.0
2019-06-30,8472.0,9362.0,8472.0,8903.0,161948063122,18189707,30712,8917.0,9260.0
2019-07-01,9269.0,9348.0,9126.0,9326.0,51210273537,5491181,7585,8903.0,9348.0
2019-07-02,9450.0,9500.0,9000.0,9172.0,72960157851,7954579,13710,9326.0,9070.0
2019-07-03,9144.0,9171.0,9000.0,9046.0,39480928065,4364359,14478,9172.0,9080.0
2019-07-06,9020.0,9090.0,8604.0,8776.0,42163703400,4804418,5927,9046.0,8778.0
2019-07-07,8800.0,9040.0,8770.0,8841.0,30863643081,3490847,4174,8776.0,8850.0
2019-07-08,9010.0,9010.0,8746.0,8849.0,30664493728,3465350,4816,8841.0,8770.0
2019-07-09,8878.0,8878.0,8410.0,8546.0,34044511848,3983493,7628,8849.0,8580.0
2019-07-10,8270.0,8973.0,8270.0,8896.0,67983208193,7642114,7772,8546.0,8889.0
2019-07-13,8700.0,9065.0,8600.0,8799.0,37730157745,4288026,9193,8896.0,8702.0
2019-07-14,8759.0,9140.0,8759.0,8968.0,30971057987,3453559,4278,8799.0,8933.0
2019-07-15,9044.0,9047.0,8641.0,8793.0,20079802474,2283550,3415,8968.0,8700.0
2019-07-16,8680.0,8850.0,8354.0,8397.0,29433586283,3505145,2491,8793.0,8354.0
2019-07-17,8150.0,8579.0,8135.0,8379.0,17140151385,2045678,3655,8397.0,8410.0
2019-07-20,8587.0,8587.0,8200.0,8311.0,16750534556,2015488,3610,8379.0,8250.0
2019-07-21,8599.0,8726.0,8260.0,8642.0,31894927530,3690805,3506,8311.0,8716.0
2019-07-22,8790.0,8943.0,8471.0,8702.0,20705493179,2379425,2098,8642.0,8555.0
2019-07-23,8600.0,8700.0,8367.0,8466.0,14757417063,1743155,1884,8702.0,8500.0
2019-07-24,8374.0,8650.0,8374.0,8493.0,9069179506,1067879,1607,8466.0,8475.0
2019-07-27,8650.0,8917.0,8649.0,8903.0,93830820269,10539424,3901,8493.0,8917.0
2019-07-28,9039.0,9046.0,8710.0,8876.0,29450257787,3317975,2715,8903.0,8800.0
2019-07-29,8710.0,8800.0,8630.0,8701.0,13422799021,1542618,1801,8876.0,8689.0
2019-07-30,8611.0,8750.0,8560.0,8659.0,18442116070,2129895,1919,8701.0,8626.0
2019-07-31,8660.0,8949.0,8660.0,8822.0,17300483662,1961009,1793,8659.0,8741.0
2019-08-03,8640.0,8700.0,8510.0,8588.0,13764794999,1602744,1773,8822.0,8607.0
2019-08-04,8650.0,8920.0,8498.0,8644.0,23858799811,2760274,2297,8588.0,8701.0
2019-08-05,8797.0,8797.0,8601.0,8713.0,23657122750,2715250,1677,8644.0,8690.0
2019-08-06,8795.0,9148.0,8644.0,9060.0,64259092974,7092638,3530,8713.0,9148.0
2019-08-07,9292.0,9321.0,9000.0,9188.0,49175061814,5352254,3332,9060.0,9033.0
2019-08-10,9033.0,9550.0,8950.0,9335.0,43653028205,4676503,3928,9188.0,9270.0
2019-08-11,9596.0,9596.0,9000.0,9197.0,28970720223,3149988,2019,9335.0,9178.0
2019-08-13,9070.0,9198.0,8800.0,8987.0,28504992393,3171787,2204,9197.0,9031.0
