date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-09-11,4914.0,4914.0,4914.0,4914.0,73741695300,15006450,138232,1000.0,4914.0
2018-09-12,5159.0,5159.0,5159.0,5159.0,188587245,36555,387,4914.0,5159.0
2018-09-15,5416.0,5416.0,5416.0,5416.0,429218000,79250,766,5159.0,5416.0
2018-09-16,5686.0,5686.0,5686.0,5686.0,619484014,108949,1039,5416.0,5686.0
2018-09-17,5970.0,5970.0,5970.0,5970.0,965086320,161656,1572,5686.0,5970.0
2018-09-18,6268.0,6268.0,6268.0,6268.0,988601496,157722,1510,5970.0,6268.0
2018-09-22,6581.0,6581.0,6581.0,6581.0,2243456319,340899,3312,6268.0,6581.0
2018-09-23,6910.0,6910.0,6910.0,6910.0,745519900,107890,1047,6581.0,6910.0
2018-09-24,7255.0,7255.0,7255.0,7255.0,1836414620,253124,952,6910.0,7255.0
2018-09-25,7617.0,7617.0,7617.0,7617.0,2373914220,311660,1159,7255.0,7617.0
2018-09-26,7997.0,7997.0,7997.0,7997.0,2559423856,320048,919,7617.0,7997.0
2018-09-29,8396.0,8396.0,8396.0,8396.0,1688477580,201105,1803,7997.0,8396.0
2018-09-30,8815.0,8815.0,8815.0,8815.0,3762427115,426821,928,8396.0,8815.0
2018-10-01,9255.0,9255.0,9255.0,9255.0,16097600955,1739341,8212,8815.0,9255.0
2018-10-02,9717.0,9717.0,9717.0,9717.0,2025771009,208477,1599,9255.0,9717.0
2018-10-07,9232.0,9232.0,8771.0,8997.0,5655982546,628674,990,9717.0,8771.0
2018-10-08,8548.0,9110.0,8548.0,8714.0,74912351307,8597087,45072,8997.0,9100.0
2018-10-09,9149.0,9149.0,8799.0,9118.0,45790505047,5022160,12098,8714.0,9122.0
2018-10-10,9140.0,9320.0,8663.0,9010.0,36796664703,4083814,12396,9118.0,9070.0
2018-10-13,9199.0,9199.0,8560.0,8683.0,23613370953,2719553,10521,9010.0,8580.0
2018-10-14,8800.0,9117.0,8700.0,9019.0,21296624543,2361426,4797,8683.0,9117.0
2018-10-15,9469.0,9469.0,9220.0,9467.0,20502943131,2165807,4477,9019.0,9469.0
2018-10-16,9940.0,9940.0,9250.0,9633.0,37969841291,3941505,4298,9467.0,9500.0
2018-10-17,9245.0,9426.0,9152.0,9192.0,21508477588,2339985,4550,9633.0,9201.0
2018-10-20,9110.0,9550.0,9110.0,9280.0,15555652284,1676175,2522,9192.0,9248.0
2018-10-21,9110.0,9280.0,8911.0,9053.0,16141892252,1783056,2225,9280.0,8920.0
2018-10-22,8898.0,8898.0,8601.0,8662.0,13966348223,1612285,1742,9053.0,8725.0
2018-10-23,8359.0,8950.0,8355.0,8588.0,10476510814,1219962,1516,8662.0,8540.0
2018-10-24,8588.0,8720.0,8460.0,8565.0,4537202221,529740,1426,8588.0,8602.0
2018-10-27,8550.0,8993.0,8522.0,8783.0,6466436868,736256,1866,8565.0,8888.0
2018-10-28,8680.0,9220.0,8680.0,9072.0,17020598532,1876193,1345,8783.0,9180.0
2018-10-29,9200.0,9450.0,8753.0,9006.0,11458335936,1272277,1212,9072.0,8920.0
2018-10-31,8980.0,9200.0,8651.0,8968.0,5835127819,650640,1030,9006.0,9000.0
2018-11-03,8825.0,8940.0,8741.0,8831.0,3591971787,406724,563,8968.0,8910.0
2018-11-04,8850.0,9190.0,8800.0,8965.0,5821685869,649414,1063,8831.0,8895.0
2018-11-05,8811.0,9150.0,8811.0,9023.0,3100001205,343569,1227,8965.0,9000.0
2018-11-06,8821.0,9080.0,8820.0,8887.0,6503485998,731811,2310,9023.0,8832.0
2018-11-10,8800.0,8889.0,8710.0,8777.0,1617225999,184253,505,8887.0,8710.0
2018-11-11,8711.0,9146.0,8711.0,9143.0,22865099384,2500896,1069,8777.0,9146.0
2018-11-12,9399.0,9399.0,8850.0,9068.0,9304838894,1026136,816,9143.0,8985.0
2018-11-13,8801.0,9028.0,8744.0,8856.0,8243158277,930809,989,9068.0,8780.0
2018-11-14,8752.0,9000.0,8752.0,8896.0,4757037144,534724,747,8856.0,8970.0
