date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-02-05,3500.0,3500.0,3500.0,3500.0,70000000,20000,2,3400.0,3500.0
2012-02-07,3400.0,3400.0,3400.0,3400.0,6188000,1820,3,3500.0,3400.0
2012-02-08,3400.0,3400.0,3400.0,3400.0,5440000,1600,5,3400.0,3400.0
2012-04-29,3400.0,3400.0,3400.0,3400.0,34000000,10000,10,3400.0,3400.0
2013-11-25,1000.0,1000.0,1000.0,1000.0,383657000,383657,12,3400.0,1000.0
2013-12-25,1000.0,1000.0,1000.0,1000.0,73182000,73182,1,1000.0,1000.0
2013-12-30,1000.0,1000.0,1000.0,1000.0,1732840000,1732840,2,1000.0,1000.0
2014-01-14,1100.0,1100.0,1100.0,1100.0,4727950700,4298137,6,1000.0,1100.0
2014-09-29,1100.0,1100.0,1100.0,1100.0,1218637200,1107852,3,1100.0,1100.0
2015-01-07,1100.0,1100.0,1100.0,1100.0,7700000,7000,4,1100.0,1100.0
2015-01-14,710.0,710.0,710.0,710.0,4024280,5668,1,1100.0,710.0
2015-01-18,1000.0,1000.0,1000.0,1000.0,5668000,5668,1,710.0,1000.0
2015-03-01,1000.0,1000.0,1000.0,1000.0,200000000,200000,1,1000.0,1000.0
2015-05-17,502.0,502.0,502.0,502.0,1506000,3000,1,1000.0,502.0
2015-07-21,701.0,701.0,701.0,701.0,2103000,3000,1,502.0,701.0
2016-01-05,701.0,701.0,701.0,701.0,4907000,7000,1,701.0,701.0
2016-01-06,700.0,700.0,700.0,700.0,4152400,5932,2,701.0,700.0
2016-01-09,700.0,700.0,700.0,700.0,700000,1000,1,700.0,700.0
2016-01-16,700.0,700.0,700.0,700.0,7140000,10200,1,700.0,700.0
2016-01-20,700.0,700.0,700.0,700.0,11980500,17115,1,700.0,700.0
2016-04-25,700.0,700.0,700.0,700.0,21000000,30000,3,700.0,700.0
2016-06-11,750.0,750.0,750.0,750.0,45000000,60000,2,700.0,750.0
2016-07-02,800.0,801.0,800.0,801.0,40040000,50000,2,750.0,801.0
2016-08-31,800.0,800.0,800.0,800.0,80000,100,1,801.0,800.0
2017-03-13,810.0,810.0,810.0,810.0,1215000,1500,1,800.0,810.0
2017-03-18,729.0,729.0,729.0,729.0,6196500,8500,2,810.0,729.0
2017-04-12,769.0,769.0,769.0,769.0,5390690,7010,1,729.0,769.0
2017-04-15,810.0,810.0,810.0,810.0,1620000,2000,1,769.0,810.0
2017-05-28,889.0,890.0,889.0,890.0,40051000,45009,2,810.0,890.0
2017-06-06,979.0,979.0,979.0,979.0,10777811,11009,3,890.0,979.0
2017-06-07,1076.0,1076.0,1076.0,1076.0,16140000,15000,1,979.0,1076.0
2017-06-10,1183.0,1183.0,1183.0,1183.0,21265608,17976,12,1076.0,1183.0
2017-06-18,1301.0,1301.0,1301.0,1301.0,10408000,8000,2,1183.0,1301.0
2017-06-19,1431.0,1431.0,1431.0,1431.0,21390588,14948,2,1301.0,1431.0
2017-07-18,1574.0,1574.0,1574.0,1574.0,6385718,4057,3,1431.0,1574.0
2017-08-06,1574.0,1574.0,1574.0,1574.0,831504850,528275,42,1431.0,1574.0
2017-08-14,1731.0,1731.0,1731.0,1731.0,103686900,59900,3,1574.0,1731.0
2017-08-16,1904.0,1904.0,1904.0,1904.0,169398880,88970,4,1731.0,1904.0
2017-08-20,2094.0,2094.0,2094.0,2094.0,6880486140,3285810,175,1904.0,2094.0
2017-08-21,2295.0,2295.0,1922.0,2109.0,4379674811,2076878,183,2094.0,2000.0
2017-08-22,1941.0,2100.0,1903.0,2021.0,1574021702,778795,127,2109.0,2002.0
2017-08-23,2030.0,2142.0,1890.0,2012.0,2515375571,1250025,145,2021.0,1932.0
2017-08-26,1851.0,1970.0,1816.0,1846.0,1133300116,613989,81,2012.0,1826.0
2017-08-27,1733.0,1930.0,1732.0,1806.0,875886868,485118,148,1846.0,1784.0
2017-08-28,1870.0,1986.0,1870.0,1970.0,870227512,441726,62,1806.0,1986.0
2017-08-29,2040.0,2139.0,1950.0,2079.0,6917260308,3326815,188,1970.0,2139.0
2017-08-30,2147.0,2285.0,2110.0,2171.0,3065005968,1411778,163,2079.0,2199.0
2017-09-02,2286.0,2379.0,2161.0,2284.0,2466151885,1079700,180,2171.0,2185.0
2017-09-03,2287.0,2287.0,2056.0,2116.0,3531247270,1668723,168,2284.0,2056.0
2017-09-04,2129.0,2131.0,1971.0,2060.0,1307273341,634643,59,2116.0,1971.0
2017-09-05,2000.0,2100.0,1870.0,1966.0,1769354098,899862,109,2060.0,1960.0
2017-09-06,1940.0,2050.0,1827.0,1997.0,677883746,339466,38,1966.0,2000.0
2017-09-10,1910.0,2030.0,1870.0,1889.0,89648640,47446,13,1997.0,1990.0
2017-09-11,1701.0,1777.0,1701.0,1703.0,2630681969,1545058,156,1889.0,1701.0
2017-09-12,1552.0,1599.0,1533.0,1546.0,1040710213,673264,116,1703.0,1569.0
2017-09-13,1450.0,1610.0,1440.0,1502.0,726747810,483911,54,1546.0,1550.0
