date,open,high,low,adjClose,value,volume,count,close
2003-01-27,72500.0,72870.0,72351.0,72351.0,37729121600,518713,638,72351.0
2003-01-28,72351.0,72358.0,72351.0,72351.0,2020699599,27929,291,72351.0
2003-02-02,71628.0,71631.0,71628.0,71628.0,2548174992,35575,67,71628.0
2003-02-05,71900.0,71900.0,71745.0,71745.0,256670782,3575,16,71745.0
2003-02-09,71028.0,71028.0,71028.0,71028.0,78272856,1102,5,71028.0
2003-02-10,70318.0,70318.0,70318.0,70318.0,70318000,1000,1,70318.0
2003-02-15,69615.0,69615.0,69615.0,69615.0,34807500,500,1,69615.0
2003-02-16,68919.0,68919.0,68919.0,68919.0,137838000,2000,3,68919.0
2003-02-17,68230.0,68250.0,68230.0,68240.0,2479565729,36341,79,68240.0
2003-02-18,68262.0,68310.0,68262.0,68310.0,47877801,701,9,68310.0
2003-02-19,68310.0,68311.0,68310.0,68310.0,121113908,1773,13,68310.0
2003-02-22,68309.0,68310.0,68309.0,68310.0,220026110,3221,5,68310.0
2003-02-23,68287.0,68287.0,68287.0,68287.0,9560180,140,3,68287.0
2003-02-24,67605.0,67605.0,67605.0,67605.0,33802500,500,3,67605.0
2003-02-26,66929.0,68281.0,66929.0,68281.0,1642269166,24413,53,68281.0
2003-03-01,68281.0,68963.0,68281.0,68963.0,101105977,1467,9,68963.0
2003-03-02,69652.0,69652.0,69652.0,69652.0,69652000,1000,4,69652.0
2003-03-03,70348.0,70348.0,70348.0,70348.0,70348000,1000,2,70348.0
2003-03-05,71051.0,71051.0,71051.0,71051.0,143238816,2016,2,71051.0
2003-03-08,71761.0,71761.0,71761.0,71761.0,143522000,2000,5,71761.0
2003-03-09,72478.0,72478.0,72476.0,72478.0,2821202270,38925,46,72478.0
2003-03-10,73202.0,73202.0,72500.0,73202.0,1970740648,26924,37,73202.0
2003-03-11,73934.0,73934.0,73933.0,73934.0,3609602241,48822,63,73934.0
2003-03-18,73934.0,76869.0,73934.0,76848.0,1171291589,15294,14,76848.0
2003-04-06,76080.0,76080.0,76080.0,76080.0,234174240,3078,5,76080.0
2003-04-08,75320.0,75320.0,75320.0,75320.0,150640000,2000,3,75320.0
2003-04-14,74567.0,74567.0,74567.0,74567.0,77176845,1035,3,74567.0
2003-04-16,73822.0,73822.0,73822.0,73822.0,73822000,1000,4,73822.0
2003-04-19,73084.0,73084.0,73084.0,73084.0,116934400,1600,7,73084.0
2003-04-20,72354.0,73813.0,72354.0,73115.0,1548791703,21363,52,73115.0
2003-04-26,73846.0,73846.0,73846.0,73846.0,260454842,3527,22,73846.0
2003-04-27,73847.0,73847.0,73846.0,73847.0,99693040,1350,4,73847.0
2003-04-28,73846.0,73847.0,73846.0,73847.0,355939540,4820,7,73847.0
2003-04-29,73109.0,73109.0,73109.0,73109.0,451594293,6177,23,73109.0
2003-04-30,73120.0,73120.0,73109.0,73109.0,79188047,1083,5,73109.0
2003-05-03,73839.0,73840.0,73770.0,73840.0,359053392,4863,13,73840.0
2003-05-04,73900.0,73900.0,73899.0,73900.0,650094503,8797,9,73900.0
2003-05-05,73900.0,73900.0,73900.0,73900.0,74934600,1014,4,73900.0
2003-05-06,73900.0,73900.0,73900.0,73900.0,1555225500,21045,40,73900.0
2003-05-07,73900.0,73900.0,73900.0,73900.0,117870500,1595,7,73900.0
2003-05-10,73900.0,73900.0,73900.0,73900.0,77299400,1046,4,73900.0
2003-05-11,73900.0,73900.0,73900.0,73900.0,90970900,1231,6,73900.0
2003-05-12,73901.0,73902.0,73900.0,73900.0,684911972,9268,11,73900.0
2003-05-13,73900.0,73900.0,73900.0,73900.0,104199000,1410,4,73900.0
