date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-10-17,9999.0,9999.0,9999.0,9999.0,825517440000,82560000,1384,1000.0,9999.0
2016-10-18,10498.0,10498.0,10498.0,10498.0,20517490662,1954419,419,9999.0,10498.0
2016-10-19,11022.0,11022.0,11022.0,10910.0,3470563272,314876,282,10498.0,11022.0
2016-10-22,11455.0,11455.0,11455.0,11455.0,70183776960,6126912,406,10910.0,11455.0
2016-10-23,12027.0,12027.0,12027.0,12027.0,162206140491,13486833,2465,11455.0,12027.0
2016-10-24,12628.0,12628.0,12628.0,12628.0,17624381852,1395659,1614,12027.0,12628.0
2016-10-25,13259.0,13259.0,13259.0,13259.0,5881175299,443561,448,12628.0,13259.0
2016-10-26,13921.0,13921.0,13921.0,13921.0,237843361541,17085221,13368,13259.0,13921.0
2016-10-29,14617.0,14617.0,14617.0,14617.0,27474464008,1879624,2017,13921.0,14617.0
2016-10-30,15347.0,15347.0,15347.0,15347.0,8670042098,564934,879,14617.0,15347.0
2016-10-31,16114.0,16114.0,15500.0,15870.0,503204961486,31708781,22714,15347.0,15530.0
2016-11-01,15610.0,15970.0,15250.0,15639.0,193394216641,12365860,14682,15870.0,15420.0
2016-11-02,15451.0,16211.0,15451.0,15946.0,108492435176,6803752,6163,15639.0,15910.0
2016-11-05,15999.0,16743.0,15810.0,16424.0,159305449384,9699634,6677,15946.0,16743.0
2016-11-06,16990.0,17245.0,16710.0,17078.0,158224606304,9264897,5426,16424.0,17000.0
2016-11-07,17199.0,17451.0,16755.0,17038.0,67571317366,3965995,3262,17078.0,16807.0
2016-11-08,16715.0,16999.0,16302.0,16665.0,81397130620,4884195,3167,17038.0,16600.0
2016-11-09,15910.0,16159.0,15832.0,15875.0,154968491437,9761980,3809,16665.0,15950.0
2016-11-12,16250.0,16290.0,15601.0,15896.0,41448847624,2607534,1605,15875.0,15740.0
2016-11-13,15860.0,16234.0,15740.0,16008.0,33079892681,2066467,1728,15896.0,15970.0
2016-11-14,16080.0,16290.0,15880.0,16007.0,24490599665,1530032,1168,16008.0,15900.0
2016-11-15,16100.0,16100.0,15690.0,15855.0,29335666800,1850282,1210,16007.0,15899.0
2016-11-16,15800.0,15990.0,15550.0,15766.0,28185080217,1787763,1295,15855.0,15801.0
2016-11-19,15606.0,15989.0,15606.0,15839.0,20449599520,1291132,1176,15766.0,15841.0
2016-11-21,15750.0,15999.0,15588.0,15714.0,12215567864,777387,662,15839.0,15602.0
2016-11-22,15799.0,15920.0,15400.0,15683.0,36992174083,2358784,1527,15714.0,15890.0
2016-11-23,15887.0,15887.0,15503.0,15604.0,14641420887,938336,632,15683.0,15660.0
2016-11-26,15222.0,15590.0,15031.0,15258.0,25057657486,1642250,1179,15604.0,15110.0
2016-11-27,15400.0,15875.0,15300.0,15551.0,24389763670,1568345,913,15258.0,15520.0
2016-11-29,15679.0,15699.0,15311.0,15511.0,19026943065,1226676,698,15551.0,15480.0
2016-12-03,15320.0,15320.0,14800.0,14952.0,30403698134,2033430,1269,15511.0,14895.0
2016-12-04,15000.0,15097.0,14502.0,14929.0,18718511485,1253840,653,14952.0,14600.0
2016-12-05,14899.0,15250.0,14500.0,15005.0,42777997367,2850872,1133,14929.0,15100.0
2016-12-06,15659.0,15755.0,15220.0,15595.0,55338051885,3548460,1304,15005.0,15755.0
2016-12-07,16000.0,16090.0,15400.0,15882.0,22703982488,1429497,622,15595.0,15630.0
2016-12-10,15899.0,15899.0,15420.0,15665.0,18734728916,1195999,612,15882.0,15555.0
2016-12-11,15390.0,15720.0,15390.0,15629.0,12423989859,794918,769,15665.0,15589.0
2016-12-12,15750.0,15750.0,15121.0,15410.0,17930277997,1163525,597,15629.0,15500.0
2016-12-13,15547.0,15580.0,15200.0,15486.0,11455841171,739739,333,15410.0,15200.0
2016-12-14,15478.0,15550.0,15210.0,15449.0,12408609221,803218,780,15486.0,15430.0
2016-12-18,15307.0,15690.0,15307.0,15599.0,13005178700,833713,824,15449.0,15490.0
2016-12-19,15689.0,15750.0,15311.0,15519.0,4214619012,272228,330,15599.0,15390.0
2016-12-20,15779.0,15779.0,15462.0,15617.0,13165479096,843040,566,15519.0,15558.0
2016-12-21,15416.0,15699.0,15400.0,15588.0,14703625376,943256,279,15617.0,15475.0
2016-12-24,15475.0,15600.0,15150.0,15304.0,8604606569,562243,388,15588.0,15250.0
2016-12-25,15260.0,15400.0,15000.0,15253.0,2887649149,190013,313,15304.0,15150.0
2016-12-26,15030.0,15160.0,14800.0,14989.0,9194353056,613399,467,15253.0,15020.0
2016-12-27,14803.0,15100.0,14803.0,14992.0,12150599575,810464,348,14989.0,15000.0
2016-12-28,14937.0,14937.0,14600.0,14764.0,7444670695,504259,356,14992.0,14640.0
2016-12-31,14700.0,14799.0,14400.0,14657.0,3858616499,264241,405,14764.0,14404.0
2017-01-01,14499.0,14700.0,14215.0,14502.0,14647718865,1010038,549,14657.0,14500.0
2017-01-02,14310.0,14790.0,14310.0,14545.0,4166542617,286134,365,14502.0,14679.0
2017-01-03,14402.0,14779.0,14360.0,14528.0,4791892270,329907,326,14545.0,14560.0
2017-01-04,14503.0,14997.0,14500.0,14662.0,8510726430,580469,476,14528.0,14600.0
2017-01-07,14460.0,14770.0,14460.0,14525.0,6303797182,434002,397,14662.0,14540.0
2017-01-08,14404.0,14660.0,14404.0,14506.0,7372001602,508213,839,14525.0,14519.0
2017-01-09,14510.0,14680.0,14254.0,14415.0,3578470046,249193,318,14506.0,14400.0
2017-01-11,14401.0,15000.0,14401.0,14886.0,12204378070,819881,931,14415.0,14978.0
2017-01-14,15630.0,15630.0,15630.0,15630.0,9139157970,584719,155,14886.0,15630.0
2017-01-15,16411.0,16411.0,16411.0,16411.0,6794941728,414048,214,15630.0,16411.0
2017-01-16,17231.0,17231.0,15800.0,16754.0,133588047715,7973531,2113,16411.0,15849.0
2017-01-17,15930.0,16248.0,15917.0,15974.0,40602126429,2541773,1216,16754.0,15917.0
2017-01-18,15511.0,15950.0,15176.0,15253.0,25532303142,1673897,770,15974.0,15397.0
2017-01-21,15489.0,15489.0,14710.0,14937.0,6669778863,446527,438,15253.0,14798.0
2017-01-22,14995.0,15198.0,14540.0,14711.0,7156258005,486448,457,14937.0,14637.0
2017-01-23,14949.0,14949.0,14631.0,14761.0,3838087109,259552,298,14711.0,14656.0
