date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-03-19,4000.0,4000.0,4000.0,4000.0,48787108000,12196777,261,1000.0,4000.0
2018-04-22,4000.0,4000.0,4000.0,4000.0,40000000,10000,1,4000.0,4000.0
2018-04-30,4000.0,4000.0,4000.0,4000.0,240000000,60000,3,4000.0,4000.0
2018-05-05,4120.0,4120.0,4120.0,4120.0,5603200000,1360000,30,4000.0,4120.0
2018-05-09,4120.0,4120.0,4120.0,4120.0,82400000,20000,1,4120.0,4120.0
2018-05-14,4120.0,4120.0,4120.0,4120.0,135960000,33000,2,4120.0,4120.0
2018-05-15,4200.0,4200.0,4200.0,4200.0,42000000,10000,1,4120.0,4200.0
2018-05-16,4400.0,4400.0,4400.0,4400.0,4400000000,1000000,20,4200.0,4400.0
2018-05-19,4400.0,4400.0,4400.0,4400.0,4400000000,1000000,20,4400.0,4400.0
2018-05-20,4500.0,4500.0,4500.0,4500.0,45000000,10000,1,4400.0,4500.0
2018-05-26,4500.0,4500.0,4500.0,4500.0,90000000,20000,1,4500.0,4500.0
2018-05-27,4500.0,4500.0,4500.0,4500.0,135000000,30000,1,4500.0,4500.0
2018-06-02,4600.0,4600.0,4600.0,4600.0,230000000,50000,1,4500.0,4600.0
2018-06-17,5000.0,5000.0,5000.0,5000.0,2000000000,400000,10,4600.0,5000.0
2018-06-20,5050.0,5050.0,5050.0,5050.0,50500000,10000,1,5000.0,5050.0
2018-08-08,4500.0,4500.0,4500.0,4500.0,45000000,10000,1,5050.0,4500.0
2018-09-03,4500.0,4500.0,4500.0,4500.0,4500000000,1000000,21,4500.0,4500.0
2018-09-04,4500.0,4500.0,4500.0,4500.0,5017500000,1115000,24,4500.0,4500.0
2018-09-05,4500.0,5500.0,4500.0,5285.0,12246500000,2317000,47,4500.0,5500.0
2018-09-08,5500.0,5500.0,5500.0,5500.0,11291500000,2053000,42,5285.0,5500.0
2018-09-09,5500.0,5500.0,5500.0,5500.0,21175000000,3850000,77,5500.0,5500.0
2018-09-10,5500.0,5500.0,5500.0,5500.0,19998000000,3636000,73,5500.0,5500.0
2018-09-12,5500.0,5500.0,5500.0,5500.0,19833000000,3606000,73,5500.0,5500.0
2018-09-15,5500.0,6000.0,6000.0,6000.0,6666000000,1111000,24,5500.0,6000.0
2018-09-18,6000.0,6000.0,6000.0,6000.0,38436000,6406,1,6000.0,6000.0
2018-09-23,6500.0,6500.0,6500.0,6500.0,650000000,100000,2,6000.0,6500.0
2018-09-26,7000.0,7000.0,7000.0,7000.0,630000000,90000,3,6500.0,7000.0
2018-09-30,6000.0,6000.0,6000.0,6000.0,50160000000,8360000,169,7000.0,6000.0
2018-10-02,6000.0,6000.0,6000.0,6000.0,18000000000,3000000,61,6000.0,6000.0
2018-10-15,6695.0,6695.0,6695.0,6695.0,669500000,100000,3,6000.0,6695.0
2018-10-17,6607.0,6607.0,6607.0,6607.0,297315000,45000,4,6695.0,6607.0
2018-10-20,7010.0,7010.0,7010.0,7010.0,445135000,63500,4,6607.0,7010.0
2018-11-03,6900.0,6900.0,6900.0,6900.0,345000000,50000,2,7010.0,6900.0
2018-11-06,7010.0,7010.0,7010.0,7010.0,1542200000,220000,7,6900.0,7010.0
2018-11-11,7000.0,7000.0,7000.0,7000.0,770000000,110000,4,7010.0,7000.0
2018-11-13,7050.0,7050.0,7050.0,7050.0,1128000000,160000,5,7000.0,7050.0
2018-11-20,7050.0,7050.0,7049.0,7049.0,704920000,100000,4,7050.0,7049.0
2018-11-27,7049.0,7049.0,7049.0,7049.0,1067923500,151500,4,7049.0,7049.0
2018-11-28,7045.0,7045.0,7045.0,7045.0,7045000000,1000000,20,7049.0,7045.0
2018-12-22,7049.0,7049.0,7049.0,7049.0,3524500000,500000,10,7045.0,7049.0
