date,open,high,low,adjClose,value,volume,count,close
2019-08-26,10000.0,10000.0,10000.0,10000.0,34565710000,3456571,177,10000.0
2019-08-27,10000.0,10000.0,10000.0,10000.0,52220420000,5222042,179,10000.0
2019-08-28,10000.0,10000.0,10000.0,10000.0,28779550000,2877955,442,10000.0
2019-08-31,10000.0,10000.0,10000.0,10000.0,6897240000,689724,213,10000.0
2019-09-01,10000.0,10000.0,10000.0,10000.0,27829020000,2782902,84,10000.0
2019-10-14,10289.0,10290.0,10289.0,10289.0,2141649061,208149,16,10289.0
2019-10-15,10290.0,10293.0,10287.0,10290.0,1366059896,132752,60,10292.0
2019-10-16,10297.0,10299.0,10293.0,10295.0,14989531625,1456064,81,10297.0
2019-10-20,11000.0,11000.0,10311.0,10316.0,1241468394,120342,29,10311.0
2019-10-21,10320.0,10321.0,10318.0,10320.0,10699466716,1036772,48,10321.0
2019-10-22,10325.0,10325.0,10321.0,10325.0,4919421624,476468,32,10325.0
2019-10-23,10111.0,10111.0,10006.0,10010.0,10191933798,1018225,82,10006.0
2019-10-26,10018.0,10018.0,10015.0,10018.0,18658066038,1862455,62,10018.0
2019-10-28,10324.0,10324.0,10029.0,10034.0,244235620943,24341730,556,10040.0
2019-10-30,10054.0,10070.0,10040.0,10045.0,155285875071,15459009,309,10045.0
2019-11-02,10088.0,10088.0,10045.0,10048.0,50455416820,5021210,146,10050.0
2019-11-03,10090.0,10090.0,10049.0,10052.0,28625600120,2847725,74,10053.0
2019-11-04,10055.0,10057.0,10055.0,10057.0,30059573374,2988927,107,10057.0
2019-11-05,10059.0,10078.0,10056.0,10077.0,43168591646,4283692,105,10073.0
2019-11-09,10080.0,10083.0,10080.0,10083.0,5168580099,512618,37,10083.0
2019-11-10,10179.0,10179.0,10083.0,10093.0,847782501,83999,21,10097.0
2019-11-11,10097.0,10101.0,10096.0,10099.0,12561384679,1243816,41,10096.0
2019-11-12,10105.0,10105.0,10100.0,10101.0,11757710773,1164013,29,10101.0
2019-11-13,10115.0,10125.0,10115.0,10116.0,63733564446,6300216,141,10115.0
2019-11-16,10124.0,10129.0,10124.0,10124.0,2118723114,209276,29,10124.0
2019-11-17,10134.0,10139.0,10134.0,10134.0,33748503208,3330217,159,10139.0
2019-11-18,10145.0,10149.0,10143.0,10146.0,7528318350,741997,37,10149.0
2019-11-19,10152.0,10154.0,10152.0,10154.0,35555341616,3501708,54,10154.0
2019-11-20,10172.0,10176.0,10170.0,10171.0,7482043653,735602,24,10176.0
2019-11-23,10011.0,10012.0,10006.0,10011.0,56500196872,5643784,121,10012.0
2019-11-24,10021.0,10021.0,10015.0,10019.0,31885976858,3182646,140,10020.0
2019-11-25,10021.0,10027.0,10020.0,10022.0,653022476,65159,21,10021.0
2019-11-26,10022.0,10034.0,10022.0,10028.0,15218091580,1517559,24,10028.0
2019-11-27,10033.0,10045.0,10033.0,10043.0,10412475780,1036749,39,10045.0
2019-11-30,10052.0,10056.0,10038.0,10054.0,20511392969,2040053,61,10056.0
2019-12-01,10060.0,10061.0,10059.0,10060.0,11609002775,1154005,52,10059.0
2019-12-02,10065.0,10072.0,10065.0,10066.0,2787473285,276921,21,10065.0
2019-12-03,10071.0,10079.0,10071.0,10073.0,38567947228,3828946,64,10079.0
2019-12-04,10090.0,10096.0,1090.0,10088.0,62653658460,6210694,87,10088.0
2019-12-07,10100.0,10106.0,10099.0,10101.0,43686996588,4325102,102,10099.0
2019-12-08,10105.0,10112.0,10105.0,10105.0,31553638826,3122505,86,10105.0
2019-12-09,10113.0,10120.0,10113.0,10113.0,38702020031,3826800,95,10114.0
2019-12-10,10119.0,10120.0,10116.0,10117.0,69642488885,6883716,198,10117.0
2019-12-11,10120.0,10129.0,10120.0,10121.0,604851482,59762,12,10129.0
2019-12-14,10138.0,10140.0,10134.0,10135.0,12580547657,1241313,30,10134.0
2019-12-15,10148.0,10148.0,10142.0,10144.0,1065498853,105036,12,10142.0
2019-12-16,10149.0,10152.0,10145.0,10148.0,10831879945,1067361,21,10145.0
2019-12-17,10154.0,10162.0,10154.0,10157.0,209572005702,20633013,389,10157.0
