date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-02-06,5070.0,5070.0,5070.0,5070.0,307267350,60605,1,4990.0,5070.0
2017-02-15,4901.0,4901.0,4901.0,4901.0,15315615198,3124998,32,4668.0,4901.0
2017-02-19,4900.0,4900.0,4900.0,4900.0,2450000000,500000,5,4892.0,4900.0
2017-04-10,4550.0,4550.0,4550.0,4550.0,3791660600,833332,9,4612.0,4550.0
2017-04-16,4550.0,4550.0,4550.0,4550.0,9100000000,2000000,20,4776.0,4550.0
2017-06-06,4090.0,4090.0,4090.0,4090.0,409000000,100000,1,4090.0,4090.0
2018-03-27,2939.0,2939.0,2939.0,3088.0,61225248,20832,1,3093.0,2939.0
2018-04-09,3246.0,3246.0,3246.0,3195.0,1298400000,400000,4,3092.0,3246.0
2018-04-10,3252.0,3252.0,3252.0,3252.0,1951200000,600000,6,3098.0,3252.0
2018-04-11,3248.0,3248.0,3248.0,3248.0,3572800000,1100000,11,3094.0,3248.0
2018-04-15,3250.0,3250.0,3250.0,3250.0,43956243500,13524998,137,3096.0,3250.0
2018-04-16,3250.0,3250.0,3250.0,3250.0,20312493500,6249998,64,3096.0,3250.0
2018-06-02,3217.0,3217.0,3217.0,3217.0,335098805,104165,2,3217.0,3217.0
2018-06-18,3804.0,3804.0,3804.0,3804.0,3994188588,1049997,11,3623.0,3804.0
2018-06-23,4040.0,4040.0,4040.0,4040.0,29749085400,7363635,375,3983.0,4040.0
2018-07-01,5000.0,5000.0,5000.0,5000.0,15624995000,3124999,32,5124.0,5000.0
2018-07-03,5250.0,5250.0,5250.0,5231.0,2598734250,494997,8,5143.0,5250.0
2018-07-21,5030.0,5030.0,5030.0,5030.0,8787410000,1747000,18,4797.0,5030.0
2018-08-15,4100.0,3933.0,3900.0,3931.0,29481000000,7500000,145,4100.0,3900.0
2018-08-25,4400.0,4400.0,4400.0,4400.0,32999986800,7499997,77,4558.0,4400.0
2018-08-26,4420.0,4420.0,4420.0,4610.0,441991160,99998,3,4648.0,4420.0
2018-09-09,4800.0,4800.0,4800.0,4950.0,960000000,200000,6,5025.0,4800.0
2018-09-10,4830.0,4830.0,4830.0,4995.0,966000000,200000,4,5078.0,4830.0
2019-02-16,5129.0,5129.0,5129.0,5129.0,2549113000,497000,5,5129.0,5129.0
2019-03-17,5400.0,5400.0,5400.0,5400.0,6749994600,1249999,15,5498.0,5400.0
2019-05-28,11789.0,11789.0,10667.0,10967.0,21923933000,1999000,35,11228.0,10667.0
2019-05-29,11200.0,11200.0,11200.0,11298.0,5600000000,500000,18,11789.0,11200.0
2019-07-28,8123.0,8123.0,8123.0,7951.0,8123000,1000,1,7951.0,8123.0
2020-04-20,76992.0,76992.0,76992.0,80892.0,2309760000,30000,1,81044.0,76992.0
2020-04-25,82962.0,82962.0,80000.0,82925.0,1214810000,15000,2,82962.0,80000.0
2020-05-31,96428.0,96428.0,96428.0,101440.0,964280000,10000,1,101503.0,96428.0
2020-07-25,131100.0,131100.0,131100.0,131100.0,33648126000,256660,10,131100.0,131100.0
2020-08-16,117380.0,117380.0,117380.0,123330.0,3260464260,27777,1,123550.0,117380.0
2020-12-02,58520.0,58520.0,58520.0,55760.0,585200000,10000,1,55740.0,58520.0
2021-03-08,41470.0,41470.0,41470.0,39220.0,2303741440,55552,1,39140.0,41470.0
