date,open,high,low,adjClose,value,volume,count,close
2019-06-08,10000.0,10000.0,10000.0,10000.0,44796490000,4479649,481,10000.0
2019-06-09,10000.0,10000.0,10000.0,10000.0,17046730000,1704673,258,10000.0
2019-06-10,10000.0,10000.0,10000.0,10000.0,9946200000,994620,363,10000.0
2019-06-11,10000.0,10000.0,10000.0,10000.0,46062080000,4606208,1372,10000.0
2019-06-12,10000.0,10000.0,10000.0,10000.0,89270990000,8927099,1166,10000.0
2019-07-01,10010.0,10299.0,10010.0,10092.0,3214869772,318542,226,10050.0
2019-07-02,10002.0,10110.0,9968.0,9990.0,4698201019,470267,337,9970.0
2019-07-03,9950.0,9980.0,9852.0,9914.0,2455068117,247647,205,9878.0
2019-07-06,9988.0,10015.0,9602.0,9782.0,1077452271,110152,109,9620.0
2019-07-07,9601.0,9630.0,9540.0,9571.0,2971644452,310495,171,9600.0
2019-07-08,9810.0,9810.0,9680.0,9717.0,1363089647,140273,102,9750.0
2019-07-09,9700.0,9720.0,9600.0,9628.0,1354204892,140650,120,9620.0
2019-07-10,9460.0,9608.0,9450.0,9515.0,1890016891,198634,206,9604.0
2019-07-13,9829.0,9829.0,9201.0,9374.0,4580209484,488612,298,9237.0
2019-07-14,9220.0,9649.0,9220.0,9459.0,1238624853,130951,121,9551.0
2019-07-15,9649.0,9649.0,9404.0,9557.0,990917064,103685,109,9520.0
2019-07-16,9522.0,9630.0,9000.0,9344.0,2120190940,226899,96,9400.0
2019-07-17,9350.0,9550.0,9350.0,9529.0,1414089067,148406,49,9480.0
2019-07-20,9310.0,9555.0,9307.0,9339.0,1791909569,191868,105,9350.0
2019-07-21,9307.0,9400.0,9307.0,9368.0,676232917,72185,56,9340.0
2019-07-22,9307.0,9540.0,9207.0,9339.0,1106816430,118516,76,9280.0
2019-07-23,9260.0,9300.0,9205.0,9258.0,1297784538,140181,66,9290.0
2019-07-24,9151.0,9443.0,9151.0,9374.0,374675466,39971,49,9361.0
2019-07-27,9251.0,9350.0,9251.0,9291.0,313363590,33729,23,9315.0
2019-07-28,9389.0,9400.0,9300.0,9309.0,194528042,20897,38,9303.0
2019-07-29,9310.0,9370.0,9293.0,9314.0,708421615,76060,68,9294.0
2019-07-30,9380.0,9400.0,9300.0,9325.0,895866864,96068,58,9400.0
2019-07-31,9535.0,9600.0,9460.0,9555.0,1871040898,195818,84,9600.0
2019-08-03,9698.0,9699.0,9520.0,9645.0,639419399,66296,65,9698.0
2019-08-04,9710.0,9800.0,9609.0,9702.0,2084172216,214812,100,9800.0
2019-08-05,9800.0,9991.0,9750.0,9887.0,1966911551,198939,71,9890.0
2019-08-06,9801.0,9980.0,9800.0,9877.0,5221433651,528658,70,9840.0
2019-08-07,9450.0,9900.0,9450.0,9870.0,1612831107,163407,78,9889.0
2019-08-10,9808.0,9898.0,9800.0,9821.0,1201614710,122352,61,9830.0
2019-08-11,9501.0,9889.0,9501.0,9841.0,1762320994,179085,47,9879.0
