date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-17,900.0,900.0,900.0,900.0,2990893500,3323215,124,1000.0,900.0
2020-11-18,910.0,940.0,880.0,900.0,9739636030,10686218,425,900.0,920.0
2020-11-21,910.0,920.0,900.0,900.0,6807367090,7470790,266,900.0,910.0
2020-11-22,900.0,900.0,870.0,900.0,7355747430,8359963,284,900.0,880.0
2020-11-23,870.0,890.0,870.0,900.0,10790674620,12280686,338,900.0,870.0
2020-11-24,870.0,870.0,860.0,890.0,10710538320,12438634,341,900.0,870.0
2020-11-25,850.0,880.0,850.0,880.0,15438786220,18007688,458,890.0,850.0
2020-11-28,840.0,860.0,840.0,870.0,12706196810,15099062,489,880.0,840.0
2020-11-29,840.0,910.0,830.0,880.0,29638882900,33674738,769,870.0,910.0
2020-11-30,920.0,920.0,900.0,900.0,22191148880,24123515,465,880.0,920.0
2020-12-01,930.0,940.0,910.0,920.0,29264252780,31239208,830,900.0,940.0
2020-12-02,960.0,960.0,930.0,940.0,27307224350,28726612,987,920.0,960.0
2020-12-05,960.0,980.0,910.0,940.0,27338340220,28900221,973,940.0,940.0
2020-12-06,910.0,930.0,900.0,910.0,37181736490,41061333,991,940.0,920.0
2020-12-12,870.0,890.0,870.0,900.0,9601438200,11024398,362,910.0,870.0
2020-12-13,860.0,860.0,860.0,900.0,2048790040,2382314,98,900.0,860.0
2020-12-15,860.0,860.0,860.0,900.0,897753140,1043899,32,900.0,860.0
2020-12-16,860.0,860.0,860.0,900.0,1168377940,1358579,44,900.0,860.0
2020-12-19,860.0,860.0,860.0,900.0,713976300,830205,30,900.0,860.0
2020-12-20,860.0,860.0,860.0,900.0,119030880,138408,10,900.0,860.0
2020-12-21,860.0,860.0,860.0,900.0,775343320,901562,44,900.0,860.0
2020-12-22,860.0,860.0,860.0,900.0,403751080,469478,19,900.0,860.0
2020-12-23,860.0,860.0,860.0,900.0,1611245260,1873541,64,900.0,860.0
2020-12-26,860.0,860.0,860.0,900.0,369579840,429744,24,900.0,860.0
2020-12-27,860.0,860.0,860.0,900.0,122789080,142778,12,900.0,860.0
2020-12-28,860.0,860.0,860.0,900.0,138941600,161560,10,900.0,860.0
2020-12-29,860.0,860.0,860.0,900.0,33552040,39014,6,900.0,860.0
2020-12-30,860.0,860.0,860.0,900.0,116020880,134908,11,900.0,860.0
2021-01-02,860.0,860.0,860.0,900.0,167276880,194508,10,900.0,860.0
2021-01-03,860.0,860.0,860.0,900.0,40592000,47200,5,900.0,860.0
2021-01-04,860.0,860.0,860.0,900.0,50740000,59000,7,900.0,860.0
2021-01-06,860.0,860.0,860.0,900.0,22205200,25820,4,900.0,860.0
2021-01-09,860.0,860.0,860.0,900.0,30960000,36000,2,900.0,860.0
2021-01-10,860.0,860.0,860.0,900.0,88612680,103038,6,900.0,860.0
2021-01-11,860.0,860.0,860.0,900.0,30230720,35152,5,900.0,860.0
2021-01-12,860.0,860.0,860.0,900.0,56631000,65850,5,900.0,860.0
2021-01-13,860.0,860.0,860.0,900.0,27090000,31500,4,900.0,860.0
2021-01-16,860.0,860.0,860.0,900.0,17200000,20000,2,900.0,860.0
2021-01-18,860.0,860.0,860.0,900.0,55118260,64091,2,900.0,860.0
2021-01-19,860.0,860.0,860.0,900.0,132708320,154312,8,900.0,860.0
2021-01-20,860.0,860.0,860.0,900.0,122399500,142325,9,900.0,860.0
2021-01-23,860.0,860.0,860.0,900.0,170076180,197763,9,900.0,860.0
2021-01-24,860.0,860.0,860.0,900.0,187412060,217921,8,900.0,860.0
2021-01-25,860.0,860.0,860.0,900.0,48160000,56000,6,900.0,860.0
2021-01-26,860.0,860.0,860.0,900.0,15480000,18000,2,900.0,860.0
2021-01-27,860.0,860.0,860.0,900.0,10191000,11850,3,900.0,860.0
2021-01-30,860.0,860.0,860.0,900.0,32680000,38000,6,900.0,860.0
2021-02-01,860.0,860.0,860.0,900.0,15480000,18000,2,900.0,860.0
2021-02-02,860.0,860.0,860.0,900.0,67221040,78164,5,900.0,860.0
2021-02-03,860.0,860.0,860.0,900.0,27110640,31524,4,900.0,860.0
2021-02-06,860.0,860.0,860.0,900.0,193697800,225230,4,900.0,860.0
2021-02-07,860.0,860.0,860.0,900.0,25216060,29321,3,900.0,860.0
2021-02-08,860.0,860.0,860.0,900.0,13674000,15900,2,900.0,860.0
2021-02-09,860.0,860.0,860.0,900.0,17200000,20000,2,900.0,860.0
2021-02-13,890.0,890.0,890.0,900.0,75860040,85236,4,900.0,890.0
2021-02-14,890.0,890.0,890.0,900.0,1914624070,2151263,26,900.0,890.0
2021-02-15,890.0,890.0,890.0,900.0,12119130,13617,2,900.0,890.0
2021-02-16,890.0,890.0,890.0,900.0,8900000,10000,1,900.0,890.0
2021-02-17,890.0,890.0,890.0,900.0,142684800,160320,8,900.0,890.0
2021-02-20,890.0,890.0,890.0,900.0,30302720,34048,4,900.0,890.0
2021-02-21,890.0,890.0,890.0,900.0,99958570,112313,2,900.0,890.0
2021-02-22,890.0,890.0,890.0,900.0,5340000,6000,1,900.0,890.0
2021-02-23,890.0,890.0,890.0,900.0,5340000,6000,1,900.0,890.0
2021-02-24,890.0,890.0,890.0,900.0,19580000,22000,3,900.0,890.0
2021-03-01,890.0,890.0,890.0,900.0,5340000,6000,1,900.0,890.0
2021-03-02,890.0,890.0,890.0,900.0,10961240,12316,2,900.0,890.0
2021-03-03,890.0,890.0,890.0,900.0,10065900,11310,2,900.0,890.0
2021-03-06,890.0,890.0,890.0,900.0,8900000,10000,1,900.0,890.0
2021-03-07,890.0,890.0,890.0,900.0,14240000,16000,2,900.0,890.0
2021-03-08,890.0,890.0,890.0,900.0,413381860,464474,8,900.0,890.0
2021-03-09,890.0,890.0,890.0,900.0,89000000,100000,1,900.0,890.0
2021-03-13,890.0,890.0,890.0,900.0,8900000,10000,1,900.0,890.0
2021-03-14,890.0,890.0,890.0,900.0,18656180,20962,3,900.0,890.0
2021-03-15,890.0,890.0,890.0,900.0,210628290,236661,7,900.0,890.0
