date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-14,1500.0,1500.0,1500.0,1500.0,4050000,2700,1,1000.0,1500.0
2014-06-22,1500.0,1500.0,1500.0,1500.0,72000000,48000,5,1365.0,1500.0
2014-08-18,1500.0,1500.0,1500.0,1500.0,65013000,43342,1,1500.0,1500.0
2014-09-15,1500.0,1500.0,1500.0,1500.0,65013000,43342,1,1500.0,1500.0
2014-10-18,1500.0,1500.0,1500.0,1500.0,9000000,6000,1,1500.0,1500.0
2014-11-12,1700.0,1700.0,1700.0,1700.0,36842400,21672,1,1500.0,1700.0
2014-11-19,1700.0,2000.0,1700.0,1717.0,19368000,11280,2,1700.0,2000.0
2014-11-25,2050.0,2050.0,2050.0,2050.0,1312000,640,1,1717.0,2050.0
2014-12-01,2200.0,2250.0,2200.0,2225.0,2225000,1000,2,2050.0,2250.0
2014-12-03,2450.0,2450.0,2450.0,2450.0,1225000,500,1,2225.0,2450.0
2014-12-06,2490.0,2500.0,2050.0,2280.0,46745000,20500,3,2450.0,2050.0
2014-12-08,1500.0,2000.0,1500.0,1583.0,1900000,1200,2,2280.0,2000.0
2014-12-10,2000.0,2000.0,1510.0,1668.0,4911280,2944,3,1583.0,1680.0
2015-01-07,1700.0,1700.0,1700.0,1700.0,19502400,11472,1,1668.0,1700.0
2015-01-11,1700.0,1700.0,1700.0,1700.0,17000,10,1,1700.0,1700.0
2015-01-25,1600.0,1600.0,1600.0,1600.0,1984000,1240,1,1700.0,1600.0
2015-02-08,1500.0,1500.0,1500.0,1500.0,13002000,8668,1,1600.0,1500.0
2015-03-14,1300.0,1400.0,1300.0,1357.0,27434800,20222,3,1500.0,1400.0
2015-10-14,1500.0,1500.0,1500.0,1500.0,42513000,28342,1,1357.0,1500.0
2015-12-08,1500.0,1500.0,1500.0,1500.0,2250000,1500,1,1500.0,1500.0
2016-01-05,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,1500.0,1500.0
2016-01-06,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,1500.0,1500.0
2016-01-31,1500.0,1500.0,1500.0,1500.0,124026000,82684,2,1500.0,1500.0
2016-02-14,1500.0,1500.0,1500.0,1500.0,180000,120,3,1500.0,1500.0
2016-04-10,1489.0,1489.0,1489.0,1489.0,3972652,2668,1,1500.0,1489.0
2016-06-18,1480.0,1480.0,1480.0,1480.0,148000,100,1,1489.0,1480.0
2016-10-18,1500.0,1500.0,1500.0,1500.0,1500000,1000,1,1470.0,1500.0
2016-11-15,1500.0,1500.0,1500.0,1500.0,32505000,21670,4,1500.0,1500.0
2017-01-14,1500.0,1500.0,1500.0,1500.0,77998500,51999,4,1500.0,1500.0
2017-02-19,1480.0,1500.0,1480.0,1493.0,11300640,7568,2,1500.0,1500.0
2017-02-20,1480.0,1480.0,1480.0,1480.0,63968560,43222,1,1493.0,1480.0
2017-02-22,1480.0,1480.0,1480.0,1480.0,64146160,43342,1,1480.0,1480.0
2017-02-25,1480.0,1480.0,1480.0,1480.0,64146160,43342,1,1480.0,1480.0
2017-02-26,1500.0,1500.0,1500.0,1500.0,20013000,13342,1,1480.0,1500.0
2017-02-27,1500.0,1500.0,1500.0,1500.0,45000000,30000,3,1500.0,1500.0
