date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-10-30,1000.0,1000.0,1000.0,1000.0,320400000,320400,3,1000.0,1000.0
2013-12-01,1000.0,1000.0,1000.0,1000.0,132000000,132000,42,1000.0,1000.0
2013-12-02,1000.0,1000.0,1000.0,1000.0,167600000,167600,58,1000.0,1000.0
2013-12-07,1000.0,1000.0,1000.0,1000.0,58500000,58500,45,1000.0,1000.0
2013-12-08,1000.0,1000.0,1000.0,1000.0,71500000,71500,55,1000.0,1000.0
2013-12-09,1000.0,1000.0,1000.0,1000.0,142350000,142350,100,1000.0,1000.0
2013-12-10,1000.0,1000.0,1000.0,1000.0,59800000,59800,42,1000.0,1000.0
2013-12-14,1000.0,1000.0,1000.0,1000.0,58500000,58500,32,1000.0,1000.0
2013-12-16,1000.0,1000.0,1000.0,1000.0,33800000,33800,24,1000.0,1000.0
2013-12-18,1000.0,1000.0,1000.0,1000.0,1300000,1300,1,1000.0,1000.0
2013-12-22,1000.0,1000.0,1000.0,1000.0,7800000,7800,2,1000.0,1000.0
2013-12-29,1000.0,1000.0,1000.0,1000.0,5080600000,5080600,25,1000.0,1000.0
2014-01-04,1000.0,1000.0,1000.0,1000.0,1024000000,1024000,30,1000.0,1000.0
2014-01-05,1000.0,1000.0,1000.0,1000.0,20800000,20800,12,1000.0,1000.0
2014-01-11,1000.0,1000.0,1000.0,1000.0,433320000,433320,10,1000.0,1000.0
2014-04-15,1041.0,1041.0,1000.0,1026.0,75518800,73600,21,1000.0,1041.0
2014-04-16,1000.0,1000.0,1000.0,1000.0,271550000,271550,73,1026.0,1000.0
2014-04-19,1000.0,1000.0,1000.0,1000.0,317500000,317500,100,1000.0,1000.0
2014-04-20,1000.0,1000.0,1000.0,1000.0,10800000,10800,3,1000.0,1000.0
2014-04-27,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-04-28,1000.0,1000.0,1000.0,1000.0,711700000,711700,199,1000.0,1000.0
2014-04-30,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-05-04,1000.0,1000.0,1000.0,1000.0,2000000,2000,1,1000.0,1000.0
2014-05-05,1000.0,1000.0,1000.0,1000.0,446200000,446200,125,1000.0,1000.0
2014-05-07,1000.0,1000.0,1000.0,1000.0,32400000,32400,9,1000.0,1000.0
2014-05-10,1000.0,1000.0,1000.0,1000.0,228900000,228900,65,1000.0,1000.0
2014-06-01,1000.0,1000.0,1000.0,1000.0,212400000,212400,59,1000.0,1000.0
2014-06-02,1000.0,1000.0,1000.0,1000.0,501300000,501300,140,1000.0,1000.0
2014-06-09,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-06-16,1000.0,1000.0,1000.0,1000.0,133200000,133200,37,1000.0,1000.0
2014-06-17,1000.0,1000.0,1000.0,1000.0,265800000,265800,74,1000.0,1000.0
2014-06-18,1000.0,1000.0,1000.0,1000.0,284200000,284200,80,1000.0,1000.0
2014-06-21,1000.0,1000.0,1000.0,1000.0,28800000,28800,8,1000.0,1000.0
2014-06-24,1000.0,1000.0,1000.0,1000.0,2000000,2000,2,1000.0,1000.0
2014-06-28,1000.0,1000.0,1000.0,1000.0,4600000,4600,2,1000.0,1000.0
2014-06-30,1000.0,1000.0,1000.0,1000.0,374400000,374400,104,1000.0,1000.0
2014-07-01,1000.0,1000.0,1000.0,1000.0,315200000,315200,88,1000.0,1000.0
2014-07-02,1000.0,1000.0,1000.0,1000.0,39600000,39600,11,1000.0,1000.0
2014-07-05,1000.0,1000.0,1000.0,1000.0,36000000,36000,10,1000.0,1000.0
2014-07-06,1000.0,1000.0,1000.0,1000.0,115200000,115200,32,1000.0,1000.0
2014-07-09,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-07-14,1000.0,1000.0,1000.0,1000.0,14400000,14400,4,1000.0,1000.0
2014-07-27,1000.0,1000.0,1000.0,1000.0,283300000,283300,79,1000.0,1000.0
2014-08-02,1000.0,1000.0,1000.0,1000.0,129600000,129600,36,1000.0,1000.0
2014-08-09,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-08-10,1000.0,1000.0,1000.0,1000.0,413800000,413800,115,1000.0,1000.0
2014-08-12,1000.0,1000.0,1000.0,1000.0,62600000,62600,17,1000.0,1000.0
2014-08-16,1000.0,1000.0,1000.0,1000.0,3000000,3000,1,1000.0,1000.0
2014-08-20,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-08-24,1000.0,1000.0,1000.0,1000.0,203000000,203000,57,1000.0,1000.0
2014-08-25,1000.0,1000.0,1000.0,1000.0,155100000,155100,43,1000.0,1000.0
2014-08-26,1000.0,1000.0,1000.0,1000.0,75600000,75600,21,1000.0,1000.0
2014-08-27,1000.0,1000.0,1000.0,1000.0,7200000,7200,2,1000.0,1000.0
2014-08-30,1000.0,1000.0,1000.0,1000.0,249200000,249200,71,1000.0,1000.0
2014-08-31,1000.0,1000.0,1000.0,1000.0,133900000,133900,37,1000.0,1000.0
2014-09-03,1000.0,1000.0,1000.0,1000.0,61200000,61200,17,1000.0,1000.0
2014-09-22,1000.0,1000.0,1000.0,1000.0,7200000,7200,2,1000.0,1000.0
2014-09-23,1000.0,1000.0,1000.0,1000.0,501800000,501800,139,1000.0,1000.0
2014-09-24,1000.0,1000.0,1000.0,1000.0,23600000,23600,8,1000.0,1000.0
2014-09-27,1000.0,1000.0,1000.0,1000.0,131400000,131400,38,1000.0,1000.0
2014-09-28,1000.0,1000.0,1000.0,1000.0,47400000,47400,12,1000.0,1000.0
2014-09-29,1000.0,1000.0,1000.0,1000.0,93900000,93900,26,1000.0,1000.0
2014-09-30,1000.0,1000.0,1000.0,1000.0,90000000,90000,25,1000.0,1000.0
2014-10-08,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0,1000.0
2014-10-12,1000.0,1000.0,1000.0,1000.0,321800000,321800,89,1000.0,1000.0
2014-10-14,1000.0,1000.0,1000.0,1000.0,983400000,983400,83,1000.0,1000.0
2014-10-18,1000.0,1000.0,1000.0,1000.0,28800000,28800,8,1000.0,1000.0
2014-10-20,1000.0,1000.0,1000.0,1000.0,36000000,36000,10,1000.0,1000.0
2014-10-21,1000.0,1000.0,1000.0,1000.0,40600000,40600,12,1000.0,1000.0
2014-10-22,1000.0,1000.0,1000.0,1000.0,1104400000,1104400,43,1000.0,1000.0
2014-10-25,1000.0,1000.0,1000.0,1000.0,368500000,368500,142,1000.0,1000.0
2014-10-26,1000.0,1000.0,1000.0,1000.0,406700000,406700,140,1000.0,1000.0
2014-10-27,1000.0,1000.0,1000.0,1000.0,344400000,344400,110,1000.0,1000.0
