date,open,high,low,adjClose,value,volume,count,close
2018-07-11,24000.0,24000.0,24000.0,24000.0,7408612944000,308692206,182093,24000.0
2018-07-14,25200.0,25200.0,25200.0,25200.0,11997316800,476084,588,25200.0
2018-07-15,26460.0,26460.0,26460.0,26460.0,36897014700,1394445,1341,26460.0
2018-07-16,27783.0,27783.0,27783.0,27783.0,526202574156,18939732,9030,27783.0
2018-07-17,29172.0,29172.0,29172.0,29172.0,1054212368352,36137816,23238,29172.0
2018-07-18,30630.0,31000.0,29101.0,30007.0,4192313955126,139710819,102695,29150.0
2018-07-23,25180.0,25979.0,25180.0,25603.0,624375931385,24387066,15973,25880.0
2018-07-24,25980.0,25980.0,25201.0,25584.0,483394163862,18894507,15934,25300.0
2018-07-25,25249.0,25800.0,24441.0,25207.0,461302693619,18300700,15223,25584.0
2018-07-28,26200.0,26467.0,25900.0,26350.0,135610117786,5146486,3355,26467.0
2018-07-29,27667.0,27667.0,26700.0,27449.0,906957316189,33041849,16472,27667.0
2018-07-30,27900.0,28821.0,27700.0,28612.0,288947244567,10098800,4674,28821.0
2018-07-31,30042.0,30042.0,30042.0,30042.0,34386103242,1144601,781,30042.0
2018-08-01,31544.0,31544.0,31544.0,31544.0,62921037608,1994707,620,31544.0
2018-08-04,32500.0,33910.0,31900.0,32884.0,947498599670,28813029,19951,33500.0
2018-08-05,34528.0,34528.0,33500.0,34504.0,988582910771,28651572,8232,34528.0
2018-08-06,36229.0,36229.0,36200.0,36229.0,1911154285122,52752088,8212,36229.0
2018-08-07,35787.0,37640.0,34800.0,36281.0,1045019013781,28803452,18611,35500.0
2018-08-08,35980.0,35980.0,34699.0,34911.0,640473286735,18346017,12011,34730.0
2018-08-11,34499.0,34499.0,33166.0,33512.0,656342457146,19585502,12625,33239.0
2018-08-12,33411.0,35187.0,33411.0,34476.0,367999265661,10674003,9248,34190.0
2018-08-13,34460.0,34460.0,33011.0,33765.0,183487130587,5434188,4541,33950.0
2018-08-14,34700.0,35295.0,34121.0,34815.0,320343281208,9201202,7665,34340.0
2018-08-15,34500.0,34500.0,33700.0,34027.0,147298384326,4328929,3447,34160.0
2018-08-18,34198.0,35300.0,33200.0,34281.0,267182848752,7793916,5558,34685.0
2018-08-19,35990.0,35990.0,34650.0,35468.0,215857850497,6085926,4905,34978.0
2018-08-20,34850.0,36400.0,34700.0,35641.0,268808783773,7542215,4842,35400.0
2018-08-21,35130.0,36100.0,34750.0,35164.0,220759189024,6278031,4097,34870.0
2018-08-25,34760.0,35200.0,33406.0,33803.0,545029530031,16123643,9748,33406.0
2018-08-26,33600.0,34500.0,32780.0,33687.0,260960825896,7746725,5948,33623.0
2018-08-27,34200.0,34300.0,33550.0,33684.0,191640826246,5689398,4490,33603.0
2018-08-28,33400.0,33470.0,32200.0,32817.0,218308859091,6652327,5511,32799.0
2018-08-29,33388.0,33942.0,33162.0,33590.0,161329029398,4802863,3399,33600.0
2018-09-01,33690.0,33801.0,32500.0,32917.0,116493640893,3538965,2802,32754.0
2018-09-02,32671.0,32790.0,31736.0,32060.0,193718726233,6042357,4539,32300.0
2018-09-03,32771.0,33180.0,32195.0,32603.0,127835246327,3920992,2931,33000.0
2018-09-04,34233.0,34233.0,33160.0,33715.0,127024644311,3767571,2916,33200.0
2018-09-05,34970.0,34970.0,33000.0,33524.0,169329056155,5050926,3009,33061.0
2018-09-08,33980.0,33980.0,33105.0,33339.0,148093102695,4441976,3415,33222.0
2018-09-09,33150.0,35005.0,33000.0,34300.0,436458465974,12724838,7877,35005.0
2018-09-10,35500.0,35900.0,34550.0,35228.0,279445680774,7932381,5556,34710.0
2018-09-11,34900.0,35228.0,33780.0,34626.0,263330949046,7605089,5217,34999.0
2018-09-12,35990.0,36357.0,35800.0,36273.0,488853113881,13477047,4050,36357.0
2018-09-15,38086.0,38086.0,36512.0,37887.0,818022720072,21591358,5820,37470.0
2018-09-16,37475.0,37475.0,36010.0,36874.0,287726624684,7803019,5199,37000.0
2018-09-17,37300.0,37850.0,35995.0,36889.0,229774496353,6228807,5177,36369.0
2018-09-18,36010.0,36576.0,35800.0,36094.0,211703103709,5865295,3501,36100.0
2018-09-22,36190.0,36497.0,35700.0,36107.0,228722835928,6334521,4609,36080.0
2018-09-23,36200.0,37800.0,36110.0,37070.0,282804661798,7628891,4274,37100.0
2018-09-24,37201.0,37761.0,37010.0,37160.0,250090453212,6730011,3958,37122.0
2018-09-25,37503.0,39018.0,37350.0,38609.0,642528277371,16641890,6503,39018.0
2018-09-26,40000.0,40530.0,39500.0,40154.0,436126616879,10861285,6271,40100.0
2018-09-29,41500.0,42161.0,40111.0,41573.0,337939873290,8128799,6071,42161.0
2018-09-30,43500.0,43651.0,42351.0,43433.0,429834546115,9896546,6288,43651.0
2018-10-01,41285.0,42499.0,41262.0,41323.0,784292176808,18979500,9392,41262.0
2018-10-02,39500.0,40500.0,39257.0,39333.0,350724430736,8916846,2635,39257.0
2018-10-03,37367.0,39257.0,37367.0,38049.0,447085219493,11750098,6082,38918.0
2018-10-06,39100.0,39808.0,36147.0,37286.0,288098742078,7726719,5012,36295.0
2018-10-07,36050.0,37320.0,35422.0,35794.0,306917665047,8574640,4824,35422.0
2018-10-08,35300.0,37000.0,34651.0,35696.0,219105270538,6138069,3778,36650.0
2018-10-09,37351.0,37480.0,36500.0,37427.0,221842688578,5927338,2762,37480.0
2018-10-10,37853.0,39100.0,37510.0,38423.0,163563956740,4256950,3421,38300.0
2018-10-13,38700.0,38900.0,36502.0,36648.0,175966515495,4801476,2852,36502.0
2018-10-14,36001.0,37970.0,36001.0,37079.0,38904512902,1049222,645,37558.0
2018-10-15,37992.0,38932.0,37400.0,38778.0,206597174523,5327705,3307,38932.0
2018-10-16,39820.0,40500.0,39000.0,39929.0,199677475608,5000770,3033,39700.0
2018-10-17,39500.0,40500.0,38621.0,39827.0,187533300240,4708752,3066,40200.0
2018-10-20,41750.0,41818.0,41200.0,41801.0,218315680640,5222707,1662,41818.0
2018-10-21,43000.0,43000.0,41250.0,42098.0,217885294067,5175714,4113,41500.0
2018-10-22,44202.0,44202.0,43200.0,44143.0,734183051993,16631989,7617,44202.0
2018-10-23,45001.0,46000.0,42001.0,44911.0,596739949652,13287091,10737,45801.0
2018-10-24,45500.0,45525.0,43170.0,44128.0,244808495841,5547670,5558,43655.0
2018-10-27,44200.0,44200.0,41923.0,42453.0,239176240618,5633926,4736,42550.0
2018-10-28,42101.0,43800.0,42101.0,43027.0,192833086160,4481726,2955,43000.0
2018-10-29,43399.0,44270.0,43100.0,43472.0,134161822739,3086158,2391,43330.0
2018-10-31,42250.0,43650.0,41900.0,42296.0,190313140443,4499541,3317,42500.0
2018-11-03,41601.0,42500.0,41500.0,41934.0,104071351222,2481811,2310,41822.0
2018-11-04,41700.0,42349.0,40531.0,41691.0,133046676926,3191294,2427,41800.0
2018-11-05,41900.0,42350.0,41650.0,42020.0,99615881334,2370682,1995,41650.0
2018-11-06,41890.0,42000.0,41100.0,41590.0,113307885464,2724376,2780,41400.0
2018-11-10,41500.0,41800.0,40160.0,40587.0,184718081578,4551159,3496,40300.0
2018-11-11,40100.0,40500.0,39001.0,39428.0,138115720263,3503027,3029,39450.0
2018-11-12,39500.0,39900.0,39200.0,39467.0,131916932010,3342423,2712,39400.0
2018-11-13,39675.0,39999.0,39392.0,39559.0,124469041265,3146417,2354,39399.0
2018-11-14,38950.0,39200.0,38561.0,38763.0,135590456920,3497971,2593,38582.0
2018-11-17,37990.0,39000.0,37235.0,37806.0,133095454951,3520524,4208,37276.0
2018-11-18,37200.0,37270.0,35916.0,36527.0,163102251503,4465202,3688,37248.0
2018-11-19,37740.0,38154.0,37100.0,37760.0,87104136012,2306792,3038,37354.0
2018-11-20,37600.0,37999.0,37300.0,37666.0,55802689323,1481510,1344,37700.0
2018-11-21,37300.0,37400.0,36500.0,36941.0,57915879512,1567794,1644,36785.0
2018-11-24,35103.0,35600.0,35094.0,35105.0,54892690435,1563663,1298,35094.0
2018-11-26,33400.0,34800.0,33350.0,33423.0,216196314360,6468554,3954,33420.0
2018-11-27,34690.0,34900.0,33600.0,34119.0,70661336233,2071015,2363,33660.0
2018-11-28,33900.0,34100.0,32800.0,33289.0,82873627478,2489539,1704,33073.0
2018-12-01,32050.0,33500.0,31700.0,32243.0,114523343972,3551924,2347,32200.0
2018-12-02,32260.0,33666.0,32260.0,33013.0,71473284626,2164979,1906,33400.0
2018-12-03,33899.0,34500.0,33511.0,34002.0,68880795890,2025763,2207,33900.0
2018-12-04,34000.0,34200.0,32511.0,33576.0,70648369204,2104115,1414,33620.0
2018-12-05,33849.0,34200.0,33003.0,33502.0,35480621106,1059058,1462,33200.0
2018-12-08,33991.0,33991.0,33050.0,33472.0,35961744370,1074368,1373,33150.0
2018-12-09,33600.0,33600.0,32961.0,33125.0,46772920335,1412025,1505,33087.0
2018-12-10,32900.0,33700.0,32799.0,33178.0,53116185140,1600924,1433,33180.0
2018-12-11,33150.0,33378.0,32600.0,32957.0,12814109769,388808,912,32799.0
2018-12-12,32850.0,33000.0,32001.0,32683.0,35172181892,1076151,1544,32555.0
2018-12-15,32550.0,33200.0,32400.0,32771.0,48825346991,1489890,1266,32567.0
2018-12-16,32567.0,33009.0,31975.0,32412.0,52902803445,1632210,1646,32200.0
2018-12-17,32100.0,32800.0,31851.0,32092.0,30921039728,963510,1569,31860.0
2018-12-18,31819.0,32190.0,31150.0,31720.0,36126896569,1138934,2070,31247.0
2018-12-19,31200.0,31655.0,30200.0,30593.0,64834398896,2119269,2758,30563.0
2018-12-22,30000.0,30500.0,29301.0,29949.0,48133469355,1607178,2134,29997.0
2018-12-23,30300.0,30990.0,30000.0,30270.0,50779006234,1677545,1572,30500.0
2018-12-24,30498.0,31000.0,30200.0,30482.0,29481646065,967182,1085,30650.0
2018-12-25,30490.0,30831.0,30001.0,30199.0,21438520389,709901,961,30200.0
2018-12-26,30222.0,31708.0,30200.0,31415.0,78882118439,2510994,1905,31708.0
2018-12-29,32100.0,32976.0,32000.0,32672.0,61282764615,1875671,2335,32949.0
2018-12-30,33100.0,33800.0,32580.0,32901.0,34916485376,1061263,1687,32672.0
2018-12-31,32501.0,32700.0,32002.0,32390.0,25656941629,792131,1218,32400.0
2019-01-01,32600.0,32600.0,32100.0,32258.0,25838015345,800990,911,32103.0
2019-01-02,32005.0,32500.0,31400.0,31851.0,34456334460,1081803,1303,32100.0
2019-01-05,32500.0,32698.0,32140.0,32339.0,16955606094,524313,728,32284.0
2019-01-06,32350.0,32500.0,32150.0,32302.0,24463998200,757357,784,32181.0
2019-01-07,32400.0,33917.0,32400.0,33485.0,67219103997,2007459,2808,33900.0
2019-01-08,34200.0,34995.0,34200.0,34744.0,65269065408,1878568,2245,34700.0
