date,open,high,low,adjClose,value,volume,count,close
2002-03-05,7150.0,7232.0,7150.0,7201.0,5387268470,751000,710,7201.0
2002-03-10,7273.0,7273.0,7273.0,7273.0,684483849,94113,263,7273.0
2002-03-11,7345.0,7345.0,7345.0,7345.0,6044935,823,3,7345.0
2002-03-16,7418.0,7418.0,7418.0,7418.0,3709000,500,2,7418.0
2002-03-17,7492.0,7492.0,7492.0,7492.0,15313648,2044,4,7492.0
2002-03-18,7566.0,7566.0,7566.0,7566.0,45396000,6000,3,7566.0
2002-03-19,7641.0,7641.0,7641.0,7641.0,39351150,5150,9,7641.0
2002-03-31,7717.0,7717.0,7717.0,7717.0,3858500,500,1,7717.0
2002-04-03,7794.0,7794.0,7794.0,7794.0,12704220,1630,3,7794.0
2002-04-07,7871.0,7871.0,7871.0,7871.0,9523910,1210,4,7871.0
2002-04-09,7949.0,7949.0,7949.0,7949.0,7949000,1000,1,7949.0
2002-04-10,8028.0,8028.0,8028.0,8028.0,81925740,10205,35,8028.0
2002-04-13,8108.0,8108.0,8108.0,8108.0,9121500,1125,3,8108.0
2002-04-16,8189.0,8189.0,8189.0,8189.0,12283500,1500,2,8189.0
2002-04-20,8270.0,8270.0,8270.0,8270.0,12065930,1459,5,8270.0
2002-04-21,8352.0,8352.0,8352.0,8352.0,11692800,1400,2,8352.0
2002-04-23,8435.0,8435.0,8435.0,8435.0,13580350,1610,18,8435.0
2002-04-24,8519.0,8519.0,8519.0,8519.0,8519000,1000,3,8519.0
2002-04-28,8604.0,8604.0,8604.0,8604.0,26672400,3100,4,8604.0
2002-04-30,8690.0,8690.0,8690.0,8690.0,15642000,1800,3,8690.0
2002-05-04,8776.0,8776.0,8776.0,8776.0,118388240,13490,15,8776.0
2002-05-05,8863.0,8863.0,8863.0,8863.0,47860200,5400,2,8863.0
2002-05-06,8951.0,8951.0,8951.0,8951.0,29654663,3313,4,8951.0
2002-05-07,8951.0,9040.0,8951.0,9040.0,1262382510,139733,179,9040.0
2002-05-12,9130.0,9130.0,9130.0,9130.0,9130000,1000,2,9130.0
2002-05-18,9221.0,9221.0,9221.0,9221.0,17335480,1880,10,9221.0
2002-05-19,9313.0,9313.0,9313.0,9313.0,18626000,2000,5,9313.0
2002-05-20,9406.0,9406.0,9406.0,9406.0,18812000,2000,3,9406.0
2002-05-21,9500.0,9500.0,9500.0,9500.0,14250000,1500,3,9500.0
2002-05-22,9500.0,9595.0,9500.0,9595.0,374484775,39094,72,9595.0
2002-05-25,9595.0,9690.0,9595.0,9690.0,145922160,15094,24,9690.0
2002-05-26,9690.0,9690.0,9594.0,9594.0,725549590,75314,96,9594.0
2002-05-27,9499.0,9499.0,9499.0,9499.0,315309806,33194,22,9499.0
